# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
W3030DI00110	Gene_2741_4243	W303_0DI00110	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0
W3030DJ00100	Gene_1378_2916	W303_0DJ00100	protein_coding	0	0	0	7	0	0	7	0	0	0	0	0
W3030DJ00110	Gene_3633_3932	W303_0DJ00110	protein_coding	0	0	0	7	0	0	7	0	0	0	0	0
W3030DJ00120	Gene_4318_6930	W303_0DJ00120	protein_coding	0	0	0	7	0	0	7	0	0	0	0	0
W3030DN00130	Gene_6496_8127	W303_0DN00130	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2
W3030DN00140	Gene_12396_13556	W303_0DN00140	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2
W3030DO00100	Gene_319_1173	W303_0DO00100	protein_coding	0	0	0	4	0	0	0	0	0	0	0	4
W3030DO00110	Gene_1826_2671	W303_0DO00110	protein_coding	0	0	0	4	0	0	0	0	0	0	0	4
W3030DO00120	Gene_2960_3478	W303_0DO00120	protein_coding	0	0	0	4	0	0	4	0	0	0	0	0
W3030DO00130	Gene_4074_4385	W303_0DO00130	protein_coding	0	0	0	4	0	0	0	0	0	0	0	4
W3030DO00140	Gene_4552_6120	W303_0DO00140	protein_coding	0	0	0	5	0	0	4	0	0	0	0	1
W3030DO00150	Gene_6927_8963	W303_0DO00150	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030DO00160	Gene_9267_10721	W303_0DO00160	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0
W3030DO00170	Gene_11667_12638	W303_0DO00170	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030DO00180	Gene_13949_14167	W303_0DO00180	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030DQ00100	Gene_700_6729	W303_0DQ00100	protein_coding	1	0	4	1	1	0	0	1	3	0	0	1
W3030DT00100	Gene_2217_2675	W303_0DT00100	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030DT00110	Gene_2892_4304	W303_0DT00110	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030DT00120	Gene_5136_6299	W303_0DT00120	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030DY00100	Gene_556_1644	W303_0DY00100	protein_coding	1	0	0	0	0	0	0	1	0	0	0	0
W3030DY00110	Gene_1924_2558	W303_0DY00110	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030DY00120	Gene_4034_4510	W303_0DY00120	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030DY00130	Gene_4794_5822	W303_0DY00130	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030EC00100	Gene_1_258	W303_0EC00100	protein_coding	0	0	0	16	0	0	0	0	0	0	0	16
W3030EH00100	Gene_2140_2961	W303_0EH00100	protein_coding	0	0	0	4	0	0	4	0	0	0	0	0
W3030EH00110	Gene_3546_3977	W303_0EH00110	protein_coding	0	0	0	4	0	0	4	0	0	0	0	0
W3030EH00120	Gene_4219_6000	W303_0EH00120	protein_coding	4	0	0	0	0	0	0	4	0	0	0	0
W3030EH00130	Gene_6883_9636	W303_0EH00130	protein_coding	0	0	0	4	0	0	0	0	0	0	0	4
W3030ET00100	Gene_1927_3483	W303_0ET00100	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0
W3030EW00100	Gene_3493_5151	W303_0EW00100	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030EZ00100	Gene_1205_3055	W303_0EZ00100	protein_coding	0	0	0	3	0	0	0	0	0	0	0	3
W3030F00100	Gene_888_4328	W303_0F00100	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030F00110	Gene_4636_7455	W303_0F00110	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030FA00100	Gene_998_2470	W303_0FA00100	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030FA00110	Gene_2713_3186	W303_0FA00110	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030FA00120	Gene_3557_5110	W303_0FA00120	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030FA00130	Gene_5343_6326	W303_0FA00130	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030FD00100	Gene_608_763	W303_0FD00100	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030FD00110	Gene_1031_3796	W303_0FD00110	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030FD00120	Gene_4285_4764	W303_0FD00120	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030FD00130	Gene_5173_6936	W303_0FD00130	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030FL00100	Gene_217_660	W303_0FL00100	protein_coding	0	0	0	3	0	0	0	0	0	0	0	3
W3030FL00110	Gene_3229_5391	W303_0FL00110	protein_coding	0	0	0	3	0	0	0	0	0	0	0	3
W3030FM00100	Gene_2729_3268	W303_0FM00100	protein_coding	0	3	2	0	0	0	0	0	2	0	3	0
W3030FN00100	Gene_683_1396	W303_0FN00100	protein_coding	1	0	0	0	0	0	0	1	0	0	0	0
W3030FN00110	Gene_2413_3726	W303_0FN00110	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030FR00100	Gene_731_4814	W303_0FR00100	protein_coding	0	0	0	4	0	0	0	0	0	0	0	4
W3030FS00100	Gene_448_1656	W303_0FS00100	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030FS00110	Gene_2687_4165	W303_0FS00110	protein_coding	0	1	0	0	0	0	0	0	0	0	1	0
W3030FZ00100	Gene_2323_2493	W303_0FZ00100	protein_coding	0	0	0	7	0	0	7	0	0	0	0	0
W3030FZ00110	Gene_2845_3285	W303_0FZ00110	protein_coding	0	0	0	7	0	0	7	0	0	0	0	0
W3030FZ00120	Gene_3276_4019	W303_0FZ00120	protein_coding	0	0	0	7	0	0	7	0	0	0	0	0
W3030G00100	Gene_723_2840	W303_0G00100	protein_coding	0	0	0	3	0	0	0	0	0	0	0	3
W3030G00110	Gene_3327_4748	W303_0G00110	protein_coding	0	0	0	3	0	0	3	0	0	0	0	0
W3030G00120	Gene_6311_8446	W303_0G00120	protein_coding	0	3	0	0	0	0	0	0	0	0	3	0
W3030G00130	Gene_11705_12928	W303_0G00130	protein_coding	0	0	0	3	0	0	0	0	0	0	0	3
W3030GO00100	Gene_1280_1423	W303_0GO00100	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030GO00110	Gene_1598_1831	W303_0GO00110	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030HB00100	Gene_1212_1931	W303_0HB00100	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2
W3030HN00100	Gene_145_504	W303_0HN00100	protein_coding	0	0	0	10	0	0	0	0	0	0	0	10
W3030HN00110	Gene_966_1247	W303_0HN00110	protein_coding	0	7	2	1	0	0	0	0	2	0	7	1
W3030ID00100	Gene_185_1537	W303_0ID00100	protein_coding	2	0	0	1	0	0	1	2	0	0	0	0
W3030IN00100	Gene_198_557	W303_0IN00100	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030IN00110	Gene_554_1432	W303_0IN00110	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030IO00100	Gene_1235_1414	W303_0IO00100	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0
W3030IQ00100	Gene_244_948	W303_0IQ00100	protein_coding	0	2	8	0	0	0	0	0	8	0	2	0
W3030IQ00110	Gene_1100_1258	W303_0IQ00110	protein_coding	0	0	0	10	0	0	0	0	0	0	0	10
W3030J00100	Gene_869_2506	W303_0J00100	protein_coding	0	1	0	0	0	0	0	0	0	0	1	0
W3030J00110	Gene_2961_4343	W303_0J00110	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030J00120	Gene_4647_6911	W303_0J00120	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030JD00100	Gene_828_1038	W303_0JD00100	protein_coding	0	0	0	8	0	0	0	0	0	0	0	8
W3030JS00100	Gene_164_758	W303_0JS00100	protein_coding	1	1	3	0	0	0	0	1	3	0	1	0
W3030KO00100	Gene_3_464	W303_0KO00100	protein_coding	0	2	1	0	0	0	0	0	1	0	2	0
W3030L00380	Gene_64925_69394	W303_0L00380	protein_coding	0	0	0	11	0	0	0	0	0	0	0	11
W3030L00390	Gene_70220_71350	W303_0L00390	protein_coding	0	9	2	0	0	0	0	0	2	0	9	0
W3030L00400	Gene_71575_72042	W303_0L00400	protein_coding	0	0	0	11	0	0	11	0	0	0	0	0
W3030L00410	Gene_72434_73369	W303_0L00410	protein_coding	0	0	0	11	0	0	11	0	0	0	0	0
W3030L00420	Gene_73926_76031	W303_0L00420	protein_coding	0	0	0	11	0	0	0	0	0	0	0	11
W3030LK00100	Gene_2_292	W303_0LK00100	protein_coding	1	0	0	0	0	0	0	1	0	0	0	0
W3030N00120	Gene_3227_3670	W303_0N00120	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030N00130	Gene_4282_6738	W303_0N00130	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
