# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
W3030AI00160	Gene_10609_10722	W303_0AI00160	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
W3030AI00170	Gene_11725_13371	W303_0AI00170	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
W3030AL00100	Gene_277_1692	W303_0AL00100	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
W3030AL00110	Gene_1869_2714	W303_0AL00110	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1
W3030AL00120	Gene_2944_5022	W303_0AL00120	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1
W3030AL00130	Gene_5376_6236	W303_0AL00130	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
W3030AL00140	Gene_7177_7725	W303_0AL00140	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
W3030AL00150	Gene_8313_10241	W303_0AL00150	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
W3030AN00490	Gene_64694_65677	W303_0AN00490	protein_coding	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	7
W3030AN00500	Gene_66114_68672	W303_0AN00500	protein_coding	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	14
W3030AN00510	Gene_69272_72514	W303_0AN00510	protein_coding	0	4	10	0	0	0	0	0	0	10	0	0	0	0	4	0
W3030AN00520	Gene_73280_74212	W303_0AN00520	protein_coding	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	14
W3030AN00530	Gene_74413_74970	W303_0AN00530	protein_coding	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	14
W3030AN00540	Gene_75091_86325	W303_0AN00540	protein_coding	0	0	0	14	0	0	0	14	0	0	0	0	0	0	0	0
W3030B00100	Gene_2699_3658	W303_0B00100	protein_coding	0	1	2	54	0	1	0	1	0	1	0	0	0	0	1	53
W3030B00110	Gene_4343_9337	W303_0B00110	protein_coding	1	0	0	56	0	0	0	56	1	0	0	0	0	0	0	0
W3030B00120	Gene_10142_11122	W303_0B00120	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
W3030B00130	Gene_11492_11962	W303_0B00130	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
W3030B00160	Gene_16461_20558	W303_0B00160	protein_coding	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	7
W3030B00170	Gene_21222_24098	W303_0B00170	protein_coding	0	1	0	7	0	0	0	7	0	0	0	0	0	0	1	0
W3030B00180	Gene_24323_25735	W303_0B00180	protein_coding	0	0	0	8	0	0	0	7	0	0	0	0	0	0	0	1
W3030B00190	Gene_25997_26698	W303_0B00190	protein_coding	0	0	0	8	0	0	0	7	0	0	0	0	0	0	0	1
W3030B00200	Gene_26891_30733	W303_0B00200	protein_coding	0	0	1	9	1	0	0	2	0	0	0	0	0	0	0	7
W3030B00210	Gene_31005_33623	W303_0B00210	protein_coding	0	1	0	9	0	0	0	8	0	0	0	0	0	0	1	1
W3030B00220	Gene_33857_38551	W303_0B00220	protein_coding	1	2	5	3	0	0	0	1	1	5	0	0	0	0	2	2
W3030B00230	Gene_39273_39620	W303_0B00230	protein_coding	0	0	0	10	0	0	0	2	0	0	0	0	0	0	0	8
W3030B00240	Gene_39909_44633	W303_0B00240	protein_coding	1	0	1	7	1	0	0	7	1	0	0	1	0	0	0	0
W3030B00250	Gene_45314_47122	W303_0B00250	protein_coding	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	2
W3030B00260	Gene_47449_48819	W303_0B00260	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1
W3030B00270	Gene_49292_51748	W303_0B00270	protein_coding	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0
W3030B00280	Gene_52063_54324	W303_0B00280	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1
W3030B00290	Gene_55260_56735	W303_0B00290	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
W3030B00300	Gene_56891_57532	W303_0B00300	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
W3030B00310	Gene_58909_61011	W303_0B00310	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
W3030B00350	Gene_70271_71143	W303_0B00350	protein_coding	0	0	0	26	0	0	0	26	0	0	0	0	0	0	0	0
W3030B00360	Gene_71839_73374	W303_0B00360	protein_coding	0	0	0	26	0	0	0	26	0	0	0	0	0	0	0	0
W3030B00370	Gene_73812_75575	W303_0B00370	protein_coding	0	14	12	0	0	0	0	0	0	12	0	0	0	0	14	0
W3030B00380	Gene_76107_77468	W303_0B00380	protein_coding	0	0	0	27	0	0	0	1	0	0	0	0	0	0	0	26
W3030B00390	Gene_78767_80332	W303_0B00390	protein_coding	0	0	0	27	0	0	0	1	0	0	0	0	0	0	0	26
W3030B00400	Gene_80449_81177	W303_0B00400	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
W3030B00410	Gene_81447_81677	W303_0B00410	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
W3030B00420	Gene_82321_85683	W303_0B00420	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1
W3030B00430	Gene_86063_87298	W303_0B00430	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1
W3030B00440	Gene_87355_87432	W303_0B00440	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
W3030B00450	Gene_87924_89231	W303_0B00450	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
W3030B00460	Gene_89521_91761	W303_0B00460	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
W3030B00470	Gene_92511_92966	W303_0B00470	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
W3030B00480	Gene_93158_94597	W303_0B00480	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
W3030B00550	Gene_104603_109021	W303_0B00550	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5
W3030B00560	Gene_109938_115049	W303_0B00560	protein_coding	0	4	1	0	0	0	0	0	0	1	0	0	0	0	4	0
W3030B00570	Gene_116084_116839	W303_0B00570	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0
W3030B00580	Gene_117119_118075	W303_0B00580	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5
W3030B00760	Gene_145329_147587	W303_0B00760	protein_coding	0	0	0	16	0	0	0	16	0	0	0	0	0	0	0	0
W3030B00770	Gene_147881_149152	W303_0B00770	protein_coding	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	16
W3030B00780	Gene_149401_149721	W303_0B00780	protein_coding	1	6	0	9	0	0	0	0	0	0	0	1	0	0	6	9
W3030B00790	Gene_150017_151309	W303_0B00790	protein_coding	0	0	0	16	0	0	0	16	0	0	0	0	0	0	0	0
W3030B00800	Gene_151840_152883	W303_0B00800	protein_coding	0	0	0	16	0	0	0	16	0	0	0	0	0	0	0	0
W3030B00810	Gene_153244_154260	W303_0B00810	protein_coding	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	16
W3030B00820	Gene_154455_156191	W303_0B00820	protein_coding	0	0	0	16	0	0	0	16	0	0	0	0	0	0	0	0
W3030C00100	Gene_189_1184	W303_0C00100	protein_coding	2	16	5	16	0	1	0	5	2	4	0	0	0	0	16	11
W3030C00110	Gene_1640_1900	W303_0C00110	protein_coding	0	0	0	39	0	0	0	5	0	0	0	0	0	0	0	34
W3030C00120	Gene_2375_2996	W303_0C00120	protein_coding	0	0	0	39	0	0	0	4	0	0	0	0	0	0	0	35
W3030C00130	Gene_3493_4368	W303_0C00130	protein_coding	0	0	0	39	0	0	0	4	0	0	0	0	0	0	0	35
W3030C00140	Gene_5121_6356	W303_0C00140	protein_coding	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	29
W3030C00150	Gene_7396_8322	W303_0C00150	protein_coding	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	4
W3030C00160	Gene_8626_11133	W303_0C00160	protein_coding	0	0	0	5	0	0	0	4	0	0	0	0	0	0	0	1
W3030C00170	Gene_11488_12075	W303_0C00170	protein_coding	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0
W3030C00180	Gene_12728_13666	W303_0C00180	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
W3030C00190	Gene_13887_14309	W303_0C00190	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
W3030C00200	Gene_15021_17450	W303_0C00200	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
W3030C00240	Gene_21050_23707	W303_0C00240	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
W3030C00250	Gene_24035_26215	W303_0C00250	protein_coding	1	0	0	2	0	0	0	2	1	0	0	0	0	0	0	0
W3030C00260	Gene_26464_27595	W303_0C00260	protein_coding	0	1	0	2	0	0	0	1	0	0	0	0	0	0	1	1
W3030C00270	Gene_28073_28999	W303_0C00270	protein_coding	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	2
W3030C00280	Gene_29102_31024	W303_0C00280	protein_coding	0	0	1	2	0	1	0	2	0	0	0	0	0	0	0	0
W3030C00290	Gene_31384_35694	W303_0C00290	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
W3030C00390	Gene_49338_52631	W303_0C00390	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
W3030C00400	Gene_52773_54314	W303_0C00400	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
W3030C00410	Gene_54578_55642	W303_0C00410	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
W3030C00420	Gene_55885_56910	W303_0C00420	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
W3030C00430	Gene_57047_57631	W303_0C00430	protein_coding	1	0	0	28	0	0	0	0	1	0	0	0	0	0	0	28
W3030C00440	Gene_57857_59161	W303_0C00440	protein_coding	0	0	0	29	0	0	0	1	0	0	0	0	0	0	0	28
W3030C00450	Gene_59525_61978	W303_0C00450	protein_coding	1	1	1	26	0	0	0	25	0	1	0	1	0	0	1	1
W3030C00460	Gene_62375_64606	W303_0C00460	protein_coding	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	29
W3030C00470	Gene_65247_65687	W303_0C00470	protein_coding	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	28
W3030C00480	Gene_65858_67225	W303_0C00480	protein_coding	0	0	0	28	0	0	0	28	0	0	0	0	0	0	0	0
W3030C00580	Gene_82116_82436	W303_0C00580	protein_coding	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	28
W3030C00590	Gene_82956_84785	W303_0C00590	protein_coding	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	29
W3030C00600	Gene_86568_87062	W303_0C00600	protein_coding	0	0	0	29	0	0	0	28	0	0	0	0	0	0	0	1
W3030C00610	Gene_87671_88702	W303_0C00610	protein_coding	0	1	0	28	0	0	0	28	0	0	0	0	0	0	1	0
W3030C00620	Gene_89285_92434	W303_0C00620	protein_coding	0	0	0	31	0	0	0	29	0	0	0	0	0	0	0	2
W3030C00630	Gene_92982_93866	W303_0C00630	protein_coding	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1
W3030C00640	Gene_94540_95302	W303_0C00640	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1
W3030C00650	Gene_96361_98463	W303_0C00650	protein_coding	1	0	0	3	0	0	0	1	1	0	0	0	0	0	0	2
W3030C00660	Gene_98927_101881	W303_0C00660	protein_coding	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	1
W3030C00670	Gene_102150_102761	W303_0C00670	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
W3030C00680	Gene_103338_105254	W303_0C00680	protein_coding	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0
W3030C00690	Gene_105435_106136	W303_0C00690	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
W3030C00700	Gene_106531_106710	W303_0C00700	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
W3030C00710	Gene_107149_108435	W303_0C00710	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
W3030C00770	Gene_116553_117269	W303_0C00770	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3
W3030C00780	Gene_117981_123353	W303_0C00780	protein_coding	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0
W3030C00790	Gene_123750_124736	W303_0C00790	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3
W3030C00800	Gene_125193_127694	W303_0C00800	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3
W3030C00830	Gene_134007_134564	W303_0C00830	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
W3030C00840	Gene_134980_135891	W303_0C00840	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
W3030C00850	Gene_136260_137087	W303_0C00850	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
W3030C00860	Gene_137378_138184	W303_0C00860	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
W3030C00870	Gene_139051_140523	W303_0C00870	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
W3030C00880	Gene_142077_143012	W303_0C00880	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
W3030C00890	Gene_143546_144067	W303_0C00890	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
W3030C01250	Gene_217808_218419	W303_0C01250	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
W3030C01260	Gene_218825_220117	W303_0C01260	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
W3030C01270	Gene_221061_223316	W303_0C01270	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
W3030C01280	Gene_223886_224491	W303_0C01280	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
W3030C01290	Gene_224963_225595	W303_0C01290	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
W3030C01300	Gene_226042_227424	W303_0C01300	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
W3030C01310	Gene_227677_228393	W303_0C01310	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
W3030D00100	Gene_342_803	W303_0D00100	protein_coding	2	2	8	24	0	0	0	10	2	8	0	0	0	0	2	14
W3030D00110	Gene_1481_1705	W303_0D00110	protein_coding	0	0	0	36	0	0	0	7	0	0	0	0	0	0	0	29
W3030D00120	Gene_1967_2587	W303_0D00120	protein_coding	0	0	0	36	0	0	0	29	0	0	0	0	0	0	0	7
W3030D00130	Gene_3294_6203	W303_0D00130	protein_coding	1	0	0	35	0	0	0	0	0	0	0	1	0	0	0	35
W3030D00140	Gene_6544_7047	W303_0D00140	protein_coding	0	0	0	7	0	0	0	7	0	0	0	0	0	0	0	0
W3030D00150	Gene_8757_10649	W303_0D00150	protein_coding	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	1
W3030D00160	Gene_11300_11641	W303_0D00160	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0
W3030D00170	Gene_11937_13016	W303_0D00170	protein_coding	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	2
W3030D00180	Gene_13647_14972	W303_0D00180	protein_coding	0	1	1	1	0	0	0	1	0	1	0	0	0	0	1	0
W3030D00190	Gene_15695_16063	W303_0D00190	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3
W3030D00200	Gene_16385_19498	W303_0D00200	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0
W3030D00210	Gene_19941_20444	W303_0D00210	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
