satellite_gene_id	satellite_gene_name	erg_gene_id	erg_gene_name	scaffold	distance	distance_kb	relative_position	satellite_start	satellite_end	erg_start	erg_end	satellite_product	zone
	YNL243W		YNL280C	w303_scaffold_17	77641	77.64	downstream	188606	191512	109649	110965	hypothetical protein	satellite
	YNL242W		YNL280C	w303_scaffold_17	80914	80.91	downstream	191879	196657	109649	110965	hypothetical protein	satellite
	YNL241C		YNL280C	w303_scaffold_17	86015	86.02	downstream	196980	198497	109649	110965	hypothetical protein	satellite
	YNL240C		YNL280C	w303_scaffold_17	88338	88.34	downstream	199303	200583	109649	110965	hypothetical protein	satellite
	YNL239W		YNL280C	w303_scaffold_17	90123	90.12	downstream	201088	202539	109649	110965	hypothetical protein	satellite
	YNL238W		YNL280C	w303_scaffold_17	92069	92.07	downstream	203034	205478	109649	110965	hypothetical protein	satellite
	YNL237W		YNL280C	w303_scaffold_17	94829	94.83	downstream	205794	207173	109649	110965	hypothetical protein	satellite
	YNL236W		YNL280C	w303_scaffold_17	96571	96.57	downstream	207536	210460	109649	110965	hypothetical protein	satellite
	YNL234W		YNL280C	w303_scaffold_17	99874	99.87	downstream	210839	212119	109649	110965	hypothetical protein	satellite
	YHL040C		YHR007C	w303_scaffold_8	94519	94.52	upstream	19308	21191	115710	117302	hypothetical protein	satellite
	YHL039W		YHR007C	w303_scaffold_8	91950	91.95	upstream	22003	23760	115710	117302	hypothetical protein	satellite
	YHL038C		YHR007C	w303_scaffold_8	89981	89.98	upstream	23837	25729	115710	117302	hypothetical protein	satellite
	YHL036W		YHR007C	w303_scaffold_8	87609	87.61	upstream	26461	28101	115710	117302	hypothetical protein	satellite
	YHL035C		YHR007C	w303_scaffold_8	82734	82.73	upstream	28198	32976	115710	117302	hypothetical protein	satellite
	YHL034C		YHR007C	w303_scaffold_8	81413	81.41	upstream	33413	34297	115710	117302	hypothetical protein	satellite
	YHL033C		YHR007C	w303_scaffold_8	79464	79.46	upstream	35476	36246	115710	117302	hypothetical protein	satellite
	YHL032C		YHR007C	w303_scaffold_8	76982	76.98	upstream	36599	38728	115710	117302	hypothetical protein	satellite
	YHL031C		YHR007C	w303_scaffold_8	76003	76.0	upstream	39036	39707	115710	117302	hypothetical protein	satellite
	YHL030W		YHR007C	w303_scaffold_8	69801	69.8	upstream	40303	45909	115710	117302	hypothetical protein	satellite
	YHL029C		YHR007C	w303_scaffold_8	67523	67.52	upstream	46148	48187	115710	117302	hypothetical protein	satellite
	YHL028W		YHR007C	w303_scaffold_8	64911	64.91	upstream	48982	50799	115710	117302	hypothetical protein	satellite
	YHL027W		YHR007C	w303_scaffold_8	62809	62.81	upstream	51330	52901	115710	117302	hypothetical protein	satellite
			YHR007C	w303_scaffold_8	62012	62.01	upstream	52898	53698	115710	117302	hypothetical protein	satellite
	YHL026C		YHR007C	w303_scaffold_8	60834	60.83	upstream	53929	54876	115710	117302	hypothetical protein	satellite
	YHL025W		YHR007C	w303_scaffold_8	59151	59.15	upstream	55561	56559	115710	117302	hypothetical protein	satellite
	YHL024W		YHR007C	w303_scaffold_8	56210	56.21	upstream	57359	59500	115710	117302	hypothetical protein	satellite
	YHL023C		YHR007C	w303_scaffold_8	52437	52.44	upstream	59833	63273	115710	117302	hypothetical protein	satellite
			YHR007C	w303_scaffold_8	52174	52.17	upstream	63465	63536	115710	117302		satellite
	YHL022C		YHR007C	w303_scaffold_8	50843	50.84	upstream	63671	64867	115710	117302	hypothetical protein	satellite
	YHR032W		YHR007C	w303_scaffold_8	52032	52.03	downstream	169334	171079	115710	117302	hypothetical protein	satellite
	YDR300C		YHR007C	w303_scaffold_8	54236	54.24	downstream	171538	172809	115710	117302	hypothetical protein	satellite
	YHR034C		YHR007C	w303_scaffold_8	55653	55.65	downstream	172955	173989	115710	117302	hypothetical protein	satellite
	YHR035W		YHR007C	w303_scaffold_8	56907	56.91	downstream	174209	176101	115710	117302	hypothetical protein	satellite
	YHR036W		YHR007C	w303_scaffold_8	59033	59.03	downstream	176335	177750	115710	117302	hypothetical protein	satellite
	YHR037W		YHR007C	w303_scaffold_8	60665	60.66	downstream	177967	179694	115710	117302	hypothetical protein	satellite
	YHR038W		YHR007C	w303_scaffold_8	62754	62.75	downstream	180056	180748	115710	117302	hypothetical protein	satellite
	YHR039C		YHR007C	w303_scaffold_8	63563	63.56	downstream	180865	182799	115710	117302	hypothetical protein	satellite
	YHR039C		YHR007C	w303_scaffold_8	65862	65.86	downstream	183164	183505	115710	117302	hypothetical protein	satellite
	YHR040W		YHR007C	w303_scaffold_8	66613	66.61	downstream	183915	185015	115710	117302	hypothetical protein	satellite
	YHR041C		YHR007C	w303_scaffold_8	67819	67.82	downstream	185121	185585	115710	117302	hypothetical protein	satellite
	YHR042W		YHR007C	w303_scaffold_8	69231	69.23	downstream	186533	188608	115710	117302	hypothetical protein	satellite
	YHR044C		YHR007C	w303_scaffold_8	71493	71.49	downstream	188795	189535	115710	117302	hypothetical protein	satellite
	YHR043C		YHR007C	w303_scaffold_8	72756	72.76	downstream	190058	190798	115710	117302	hypothetical protein	satellite
	YHR045W		YHR007C	w303_scaffold_8	74239	74.24	downstream	191541	193223	115710	117302	hypothetical protein	satellite
	YHR046C		YHR007C	w303_scaffold_8	76086	76.09	downstream	193388	194275	115710	117302	hypothetical protein	satellite
	YHR047C		YHR007C	w303_scaffold_8	77428	77.43	downstream	194730	197300	115710	117302	hypothetical protein	satellite
	YHR048W		YHR007C	w303_scaffold_8	83295	83.3	downstream	200597	202141	115710	117302	hypothetical protein	satellite
	YHR049W		YHR007C	w303_scaffold_8	85150	85.15	downstream	202452	203183	115710	117302	hypothetical protein	satellite
	YHR050W		YHR007C	w303_scaffold_8	86342	86.34	downstream	203644	205293	115710	117302	hypothetical protein	satellite
	YHR051W		YHR007C	w303_scaffold_8	88393	88.39	downstream	205695	206141	115710	117302	hypothetical protein	satellite
	YHR052W		YHR007C	w303_scaffold_8	89535	89.53	downstream	206837	207967	115710	117302	hypothetical protein	satellite
	YHR053C		YHR007C	w303_scaffold_8	91222	91.22	downstream	208524	208709	115710	117302	hypothetical protein	satellite
			YHR007C	w303_scaffold_8	91872	91.87	downstream	209174	210238	115710	117302	hypothetical protein	satellite
			YHR007C	w303_scaffold_8	93221	93.22	downstream	210523	210708	115710	117302	hypothetical protein	satellite
			YHR007C	w303_scaffold_8	93871	93.87	downstream	211173	212237	115710	117302	hypothetical protein	satellite
			YHR007C	w303_scaffold_8	95219	95.22	downstream	212521	212706	115710	117302	hypothetical protein	satellite
			YHR007C	w303_scaffold_8	95869	95.87	downstream	213171	214235	115710	117302	hypothetical protein	satellite
			YHR007C	w303_scaffold_8	97217	97.22	downstream	214519	214704	115710	117302	hypothetical protein	satellite
			YHR007C	w303_scaffold_8	97867	97.87	downstream	215169	216233	115710	117302	hypothetical protein	satellite
			YHR007C	w303_scaffold_8	99214	99.21	downstream	216516	216701	115710	117302	hypothetical protein	satellite
			YHR007C	w303_scaffold_8	99864	99.86	downstream	217166	218230	115710	117302	hypothetical protein	satellite
	YHR023W		YHR072W	w303_scaffold_8	93689	93.69	upstream	147653	153439	247128	249323	hypothetical protein	satellite
	YHR024C		YHR072W	w303_scaffold_8	91949	91.95	upstream	153731	155179	247128	249323	hypothetical protein	satellite
	YHR025W		YHR072W	w303_scaffold_8	90630	90.63	upstream	155425	156498	247128	249323	hypothetical protein	satellite
	YHR026W		YHR072W	w303_scaffold_8	89656	89.66	upstream	156831	157472	247128	249323	hypothetical protein	satellite
	YHR027C		YHR072W	w303_scaffold_8	86428	86.43	upstream	157719	160700	247128	249323	hypothetical protein	satellite
	YHR028C		YHR072W	w303_scaffold_8	83705	83.7	upstream	160967	163423	247128	249323	hypothetical protein	satellite
	YHR029C		YHR072W	w303_scaffold_8	82578	82.58	upstream	163666	164550	247128	249323	hypothetical protein	satellite
	YHR030C		YHR072W	w303_scaffold_8	80795	80.8	upstream	164879	166333	247128	249323	hypothetical protein	satellite
	YHR031C		YHR072W	w303_scaffold_8	78169	78.17	upstream	166788	168959	247128	249323	hypothetical protein	satellite
	YHR032W		YHR072W	w303_scaffold_8	76049	76.05	upstream	169334	171079	247128	249323	hypothetical protein	satellite
	YDR300C		YHR072W	w303_scaffold_8	74319	74.32	upstream	171538	172809	247128	249323	hypothetical protein	satellite
	YHR034C		YHR072W	w303_scaffold_8	73139	73.14	upstream	172955	173989	247128	249323	hypothetical protein	satellite
	YHR035W		YHR072W	w303_scaffold_8	71027	71.03	upstream	174209	176101	247128	249323	hypothetical protein	satellite
	YHR036W		YHR072W	w303_scaffold_8	69378	69.38	upstream	176335	177750	247128	249323	hypothetical protein	satellite
	YHR037W		YHR072W	w303_scaffold_8	67434	67.43	upstream	177967	179694	247128	249323	hypothetical protein	satellite
	YHR038W		YHR072W	w303_scaffold_8	66380	66.38	upstream	180056	180748	247128	249323	hypothetical protein	satellite
	YHR039C		YHR072W	w303_scaffold_8	64329	64.33	upstream	180865	182799	247128	249323	hypothetical protein	satellite
	YHR039C		YHR072W	w303_scaffold_8	63623	63.62	upstream	183164	183505	247128	249323	hypothetical protein	satellite
	YHR040W		YHR072W	w303_scaffold_8	62113	62.11	upstream	183915	185015	247128	249323	hypothetical protein	satellite
	YHR041C		YHR072W	w303_scaffold_8	61543	61.54	upstream	185121	185585	247128	249323	hypothetical protein	satellite
	YHR042W		YHR072W	w303_scaffold_8	58520	58.52	upstream	186533	188608	247128	249323	hypothetical protein	satellite
	YHR044C		YHR072W	w303_scaffold_8	57593	57.59	upstream	188795	189535	247128	249323	hypothetical protein	satellite
	YHR043C		YHR072W	w303_scaffold_8	56330	56.33	upstream	190058	190798	247128	249323	hypothetical protein	satellite
	YHR045W		YHR072W	w303_scaffold_8	53905	53.91	upstream	191541	193223	247128	249323	hypothetical protein	satellite
	YHR046C		YHR072W	w303_scaffold_8	52853	52.85	upstream	193388	194275	247128	249323	hypothetical protein	satellite
			YHR072W	w303_scaffold_8	53375	53.38	downstream	302698	304476	247128	249323	hypothetical protein	satellite
			YHR072W	w303_scaffold_8	56091	56.09	downstream	305414	306109	247128	249323	hypothetical protein	satellite
	YDR348C		YHR072W	w303_scaffold_8	57116	57.12	downstream	306439	306638	247128	249323	hypothetical protein	satellite
	YHR098C		YHR072W	w303_scaffold_8	57851	57.85	downstream	307174	309963	247128	249323	hypothetical protein	satellite
	YHR099W		YHR072W	w303_scaffold_8	61467	61.47	downstream	310790	322024	247128	249323	hypothetical protein	satellite
	YHR100C		YHR072W	w303_scaffold_8	72822	72.82	downstream	322145	322702	247128	249323	hypothetical protein	satellite
	YHR102W		YHR072W	w303_scaffold_8	75278	75.28	downstream	324601	327843	247128	249323	hypothetical protein	satellite
	YDR351W		YHR072W	w303_scaffold_8	79120	79.12	downstream	328443	331001	247128	249323	hypothetical protein	satellite
	YHR104W		YHR072W	w303_scaffold_8	82115	82.11	downstream	331438	332421	247128	249323	hypothetical protein	satellite
	YHR105W		YHR072W	w303_scaffold_8	83472	83.47	downstream	332795	333439	247128	249323	hypothetical protein	satellite
	YDR353W		YHR072W	w303_scaffold_8	84304	84.3	downstream	333627	334655	247128	249323	hypothetical protein	satellite
	YHR107C		YHR072W	w303_scaffold_8	85519	85.52	downstream	334842	336065	247128	249323	hypothetical protein	satellite
	YDR358W		YHR072W	w303_scaffold_8	87009	87.01	downstream	336332	338089	247128	249323	hypothetical protein	satellite
	YHR109W		YHR072W	w303_scaffold_8	89016	89.02	downstream	338339	340096	247128	249323	hypothetical protein	satellite
	YHR110W		YHR072W	w303_scaffold_8	90988	90.99	downstream	340311	340949	247128	249323	hypothetical protein	satellite
	YHR111W		YHR072W	w303_scaffold_8	91778	91.78	downstream	341101	342423	247128	249323	hypothetical protein	satellite
	YHR112C		YHR072W	w303_scaffold_8	93233	93.23	downstream	342556	343692	247128	249323	hypothetical protein	satellite
	YHR113W		YHR072W	w303_scaffold_8	95043	95.04	downstream	344366	345838	247128	249323	hypothetical protein	satellite
	YHR114W		YHR072W	w303_scaffold_8	96789	96.79	downstream	346112	348013	247128	249323	hypothetical protein	satellite
	YHR115C		YHR072W	w303_scaffold_8	98815	98.81	downstream	348138	349388	247128	249323	hypothetical protein	satellite
	YHR023W		YHR072W	w303_scaffold_8	96255	96.25	upstream	147653	153439	249694	249870	hypothetical protein	satellite
	YHR024C		YHR072W	w303_scaffold_8	94515	94.52	upstream	153731	155179	249694	249870	hypothetical protein	satellite
	YHR025W		YHR072W	w303_scaffold_8	93196	93.2	upstream	155425	156498	249694	249870	hypothetical protein	satellite
	YHR026W		YHR072W	w303_scaffold_8	92222	92.22	upstream	156831	157472	249694	249870	hypothetical protein	satellite
	YHR027C		YHR072W	w303_scaffold_8	88994	88.99	upstream	157719	160700	249694	249870	hypothetical protein	satellite
	YHR028C		YHR072W	w303_scaffold_8	86271	86.27	upstream	160967	163423	249694	249870	hypothetical protein	satellite
	YHR029C		YHR072W	w303_scaffold_8	85144	85.14	upstream	163666	164550	249694	249870	hypothetical protein	satellite
	YHR030C		YHR072W	w303_scaffold_8	83361	83.36	upstream	164879	166333	249694	249870	hypothetical protein	satellite
	YHR031C		YHR072W	w303_scaffold_8	80735	80.73	upstream	166788	168959	249694	249870	hypothetical protein	satellite
	YHR032W		YHR072W	w303_scaffold_8	78615	78.61	upstream	169334	171079	249694	249870	hypothetical protein	satellite
	YDR300C		YHR072W	w303_scaffold_8	76885	76.89	upstream	171538	172809	249694	249870	hypothetical protein	satellite
	YHR034C		YHR072W	w303_scaffold_8	75705	75.7	upstream	172955	173989	249694	249870	hypothetical protein	satellite
	YHR035W		YHR072W	w303_scaffold_8	73593	73.59	upstream	174209	176101	249694	249870	hypothetical protein	satellite
	YHR036W		YHR072W	w303_scaffold_8	71944	71.94	upstream	176335	177750	249694	249870	hypothetical protein	satellite
	YHR037W		YHR072W	w303_scaffold_8	70000	70.0	upstream	177967	179694	249694	249870	hypothetical protein	satellite
	YHR038W		YHR072W	w303_scaffold_8	68946	68.95	upstream	180056	180748	249694	249870	hypothetical protein	satellite
	YHR039C		YHR072W	w303_scaffold_8	66895	66.89	upstream	180865	182799	249694	249870	hypothetical protein	satellite
	YHR039C		YHR072W	w303_scaffold_8	66189	66.19	upstream	183164	183505	249694	249870	hypothetical protein	satellite
	YHR040W		YHR072W	w303_scaffold_8	64679	64.68	upstream	183915	185015	249694	249870	hypothetical protein	satellite
	YHR041C		YHR072W	w303_scaffold_8	64109	64.11	upstream	185121	185585	249694	249870	hypothetical protein	satellite
	YHR042W		YHR072W	w303_scaffold_8	61086	61.09	upstream	186533	188608	249694	249870	hypothetical protein	satellite
	YHR044C		YHR072W	w303_scaffold_8	60159	60.16	upstream	188795	189535	249694	249870	hypothetical protein	satellite
	YHR043C		YHR072W	w303_scaffold_8	58896	58.9	upstream	190058	190798	249694	249870	hypothetical protein	satellite
	YHR045W		YHR072W	w303_scaffold_8	56471	56.47	upstream	191541	193223	249694	249870	hypothetical protein	satellite
	YHR046C		YHR072W	w303_scaffold_8	55419	55.42	upstream	193388	194275	249694	249870	hypothetical protein	satellite
	YHR047C		YHR072W	w303_scaffold_8	52394	52.39	upstream	194730	197300	249694	249870	hypothetical protein	satellite
			YHR072W	w303_scaffold_8	52828	52.83	downstream	302698	304476	249694	249870	hypothetical protein	satellite
			YHR072W	w303_scaffold_8	55544	55.54	downstream	305414	306109	249694	249870	hypothetical protein	satellite
	YDR348C		YHR072W	w303_scaffold_8	56569	56.57	downstream	306439	306638	249694	249870	hypothetical protein	satellite
	YHR098C		YHR072W	w303_scaffold_8	57304	57.3	downstream	307174	309963	249694	249870	hypothetical protein	satellite
	YHR099W		YHR072W	w303_scaffold_8	60920	60.92	downstream	310790	322024	249694	249870	hypothetical protein	satellite
	YHR100C		YHR072W	w303_scaffold_8	72275	72.28	downstream	322145	322702	249694	249870	hypothetical protein	satellite
	YHR102W		YHR072W	w303_scaffold_8	74731	74.73	downstream	324601	327843	249694	249870	hypothetical protein	satellite
	YDR351W		YHR072W	w303_scaffold_8	78573	78.57	downstream	328443	331001	249694	249870	hypothetical protein	satellite
	YHR104W		YHR072W	w303_scaffold_8	81568	81.57	downstream	331438	332421	249694	249870	hypothetical protein	satellite
	YHR105W		YHR072W	w303_scaffold_8	82925	82.92	downstream	332795	333439	249694	249870	hypothetical protein	satellite
	YDR353W		YHR072W	w303_scaffold_8	83757	83.76	downstream	333627	334655	249694	249870	hypothetical protein	satellite
	YHR107C		YHR072W	w303_scaffold_8	84972	84.97	downstream	334842	336065	249694	249870	hypothetical protein	satellite
	YDR358W		YHR072W	w303_scaffold_8	86462	86.46	downstream	336332	338089	249694	249870	hypothetical protein	satellite
	YHR109W		YHR072W	w303_scaffold_8	88469	88.47	downstream	338339	340096	249694	249870	hypothetical protein	satellite
	YHR110W		YHR072W	w303_scaffold_8	90441	90.44	downstream	340311	340949	249694	249870	hypothetical protein	satellite
	YHR111W		YHR072W	w303_scaffold_8	91231	91.23	downstream	341101	342423	249694	249870	hypothetical protein	satellite
	YHR112C		YHR072W	w303_scaffold_8	92686	92.69	downstream	342556	343692	249694	249870	hypothetical protein	satellite
	YHR113W		YHR072W	w303_scaffold_8	94496	94.5	downstream	344366	345838	249694	249870	hypothetical protein	satellite
	YHR114W		YHR072W	w303_scaffold_8	96242	96.24	downstream	346112	348013	249694	249870	hypothetical protein	satellite
	YHR115C		YHR072W	w303_scaffold_8	98268	98.27	downstream	348138	349388	249694	249870	hypothetical protein	satellite
	YHR116W		YHR072W	w303_scaffold_8	99824	99.82	downstream	349694	350149	249694	249870	hypothetical protein	satellite
	YHR143W		YHR190W	w303_scaffold_8	98355	98.36	upstream	393581	394558	492913	494247	hypothetical protein	satellite
	YHR143W		YHR190W	w303_scaffold_8	97397	97.4	upstream	395304	395516	492913	494247	hypothetical protein	satellite
	YHR144C		YHR190W	w303_scaffold_8	96116	96.12	upstream	395859	396797	492913	494247	hypothetical protein	satellite
			YHR190W	w303_scaffold_8	95847	95.85	upstream	396964	397066	492913	494247		satellite
	YHR146W		YHR190W	w303_scaffold_8	93145	93.14	upstream	398371	399768	492913	494247	hypothetical protein	satellite
	YHR147C		YHR190W	w303_scaffold_8	91559	91.56	upstream	400710	401354	492913	494247	hypothetical protein	satellite
	YHR148W		YHR190W	w303_scaffold_8	90757	90.76	upstream	401605	402156	492913	494247	hypothetical protein	satellite
	YGR221C		YHR190W	w303_scaffold_8	88183	88.18	upstream	402526	404730	492913	494247	hypothetical protein	satellite
	YHR150W		YHR190W	w303_scaffold_8	85851	85.85	upstream	405323	407062	492913	494247	hypothetical protein	satellite
	YHR151C		YHR190W	w303_scaffold_8	83993	83.99	upstream	407340	408920	492913	494247	hypothetical protein	satellite
	YGR230W		YHR190W	w303_scaffold_8	82886	82.89	upstream	409506	410027	492913	494247	hypothetical protein	satellite
	YHR153C		YHR190W	w303_scaffold_8	82159	82.16	upstream	410158	410754	492913	494247	hypothetical protein	satellite
	YHR154W		YHR190W	w303_scaffold_8	78663	78.66	upstream	411038	414250	492913	494247	hypothetical protein	satellite
	YHR155W		YHR190W	w303_scaffold_8	74052	74.05	upstream	415175	418861	492913	494247	hypothetical protein	satellite
	YHR156C		YHR190W	w303_scaffold_8	72435	72.44	upstream	419456	420478	492913	494247	hypothetical protein	satellite
	YHR157W		YHR190W	w303_scaffold_8	71386	71.39	upstream	420979	421527	492913	494247	hypothetical protein	satellite
	YGR238C		YHR190W	w303_scaffold_8	67662	67.66	upstream	421757	425251	492913	494247	hypothetical protein	satellite
	YHR159W		YHR190W	w303_scaffold_8	65778	65.78	upstream	425621	427135	492913	494247	hypothetical protein	satellite
	YGR239C		YHR190W	w303_scaffold_8	64769	64.77	upstream	427293	428144	492913	494247	hypothetical protein	satellite
	YGR241C		YHR190W	w303_scaffold_8	62555	62.55	upstream	428445	430358	492913	494247	hypothetical protein	satellite
	YGR243W		YHR190W	w303_scaffold_8	61380	61.38	upstream	431144	431533	492913	494247	hypothetical protein	satellite
	YGR248W		YHR190W	w303_scaffold_8	60368	60.37	upstream	431796	432545	492913	494247	hypothetical protein	satellite
	YHR164C		YHR190W	w303_scaffold_8	55663	55.66	upstream	432682	437250	492913	494247	hypothetical protein	satellite
			YHR190W	w303_scaffold_8	51581	51.58	downstream	545828	546322	492913	494247	hypothetical protein	satellite
	YAR061W		YHR190W	w303_scaffold_8	52564	52.56	downstream	546811	547014	492913	494247	hypothetical protein	satellite
	YAR050W		YHR190W	w303_scaffold_8	52973	52.97	downstream	547220	547816	492913	494247	hypothetical protein	satellite
	YAR064W		YHR190W	w303_scaffold_8	54622	54.62	downstream	548869	549168	492913	494247	hypothetical protein	satellite
	YAR066W		YHR190W	w303_scaffold_8	57300	57.3	downstream	551547	551615	492913	494247	hypothetical protein	satellite
			YHR190W	w303_scaffold_8	61732	61.73	downstream	555979	557415	492913	494247	hypothetical protein	satellite
	YAR071W		YHR190W	w303_scaffold_8	65924	65.92	downstream	560171	561574	492913	494247	hypothetical protein	satellite
	YAR073W		YHR190W	w303_scaffold_8	68221	68.22	downstream	562468	564039	492913	494247	hypothetical protein	satellite
	YML059C		YML008C	w303_scaffold_16	99367	99.37	upstream	147759	152798	252165	253316	hypothetical protein	satellite
	YML058W		YML008C	w303_scaffold_16	98659	98.66	upstream	153300	153506	252165	253316	hypothetical protein	satellite
	YLR437C		YML008C	w303_scaffold_16	97928	97.93	upstream	153923	154237	252165	253316	hypothetical protein	satellite
	YLR433C		YML008C	w303_scaffold_16	95631	95.63	upstream	154720	156534	252165	253316	hypothetical protein	satellite
	YML056C		YML008C	w303_scaffold_16	94409	94.41	upstream	156734	157756	252165	253316	hypothetical protein	satellite
	YML055W		YML008C	w303_scaffold_16	92298	92.3	upstream	159331	159867	252165	253316	hypothetical protein	satellite
	YML054C		YML008C	w303_scaffold_16	90273	90.27	upstream	160117	161892	252165	253316	hypothetical protein	satellite
			YML008C	w303_scaffold_16	88698	88.7	upstream	163379	163467	252165	253316		satellite
	YML053C		YML008C	w303_scaffold_16	87827	87.83	upstream	163700	164338	252165	253316	hypothetical protein	satellite
	YML052W		YML008C	w303_scaffold_16	86601	86.6	upstream	164986	165564	252165	253316	hypothetical protein	satellite
	YML051W		YML008C	w303_scaffold_16	84669	84.67	upstream	166189	167496	252165	253316	hypothetical protein	satellite
	YML050W		YML008C	w303_scaffold_16	83496	83.5	upstream	167734	168669	252165	253316	hypothetical protein	satellite
	YML049C		YML008C	w303_scaffold_16	79265	79.27	upstream	168815	172900	252165	253316	hypothetical protein	satellite
	YML048W		YML008C	w303_scaffold_16	77933	77.93	upstream	173021	174232	252165	253316	hypothetical protein	satellite
