Assembly Accession	Assembly-unit accession	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCA_000766475.2	Primary Assembly	Un			JRIU01000151.1	Chromosome			unplaced-scaffold	6540			scaffold-194
GCA_000766475.2	Primary Assembly	Un			JRIU01000152.1	Chromosome			unplaced-scaffold	4818			scaffold-196
GCA_000766475.2	Primary Assembly	Un			JRIU01000153.1	Chromosome			unplaced-scaffold	4096			scaffold-197
GCA_000766475.2	Primary Assembly	Un			JRIU01000154.1	Chromosome			unplaced-scaffold	193654			scaffold-199
GCA_000766475.2	Primary Assembly	Un			JRIU01000155.1	Chromosome			unplaced-scaffold	23523			scaffold-202
GCA_000766475.2	Primary Assembly	Un			JRIU01000156.1	Chromosome			unplaced-scaffold	11105			scaffold-203
GCA_000766475.2	Primary Assembly	Un			JRIU01000157.1	Chromosome			unplaced-scaffold	307			scaffold-204
GCA_000766475.2	Primary Assembly	Un			JRIU01000158.1	Chromosome			unplaced-scaffold	117423			scaffold-207
GCA_000766475.2	Primary Assembly	Un			JRIU01000159.1	Chromosome			unplaced-scaffold	1845			scaffold-208
GCA_000766475.2	Primary Assembly	Un			JRIU01000160.1	Chromosome			unplaced-scaffold	1049			scaffold-210
GCA_000766475.2	Primary Assembly	Un			JRIU01000161.1	Chromosome			unplaced-scaffold	3344			scaffold-211
GCA_000766475.2	Primary Assembly	Un			JRIU01000162.1	Chromosome			unplaced-scaffold	4815			scaffold-212
GCA_000766475.2	Primary Assembly	Un			JRIU01000163.1	Chromosome			unplaced-scaffold	103880			scaffold-213
GCA_000766475.2	Primary Assembly	Un			JRIU01000164.1	Chromosome			unplaced-scaffold	133823			scaffold-215
GCA_000766475.2	Primary Assembly	Un			JRIU01000165.1	Chromosome			unplaced-scaffold	291			scaffold-216
GCA_000766475.2	Primary Assembly	Un			JRIU01000166.1	Chromosome			unplaced-scaffold	20288			scaffold-218
GCA_000766475.2	Primary Assembly	Un			JRIU01000167.1	Chromosome			unplaced-scaffold	37245			scaffold-219
GCA_000766475.2	Primary Assembly	Un			JRIU01000168.1	Chromosome			unplaced-scaffold	985			scaffold-220
GCA_000766475.2	Primary Assembly	Un			JRIU01000169.1	Chromosome			unplaced-scaffold	19962			scaffold-221
GCA_000766475.2	Primary Assembly	Un			JRIU01000170.1	Chromosome			unplaced-scaffold	20198			scaffold-223
GCA_000766475.2	Primary Assembly	Un			JRIU01000171.1	Chromosome			unplaced-scaffold	269			scaffold-224
GCA_000766475.2	Primary Assembly	Un			JRIU01000172.1	Chromosome			unplaced-scaffold	531			scaffold-225
GCA_000766475.2	Primary Assembly	Un			JRIU01000173.1	Chromosome			unplaced-scaffold	346			scaffold-226
GCA_000766475.2	Primary Assembly	Un			JRIU01000174.1	Chromosome			unplaced-scaffold	337			scaffold-228
GCA_000766475.2	Primary Assembly	Un			JRIU01000175.1	Chromosome			unplaced-scaffold	3459			scaffold-229
GCA_000766475.2	Primary Assembly	Un			JRIU01000176.1	Chromosome			unplaced-scaffold	126538			scaffold-231
GCA_000766475.2	Primary Assembly	Un			JRIU01000177.1	Chromosome			unplaced-scaffold	76725			scaffold-234
GCA_000766475.2	Primary Assembly	Un			JRIU01000178.1	Chromosome			unplaced-scaffold	15028			scaffold-236
GCA_000766475.2	Primary Assembly	Un			JRIU01000179.1	Chromosome			unplaced-scaffold	4041			scaffold-237
GCA_000766475.2	Primary Assembly	Un			JRIU01000180.1	Chromosome			unplaced-scaffold	8210			scaffold-238
GCA_000766475.2	Primary Assembly	Un			JRIU01000181.1	Chromosome			unplaced-scaffold	230			scaffold-239
GCA_000766475.2	Primary Assembly	Un			JRIU01000182.1	Chromosome			unplaced-scaffold	210			scaffold-240
GCA_000766475.2	Primary Assembly	Un			JRIU01000183.1	Chromosome			unplaced-scaffold	110511			scaffold-241
GCA_000766475.2	Primary Assembly	Un			JRIU01000184.1	Chromosome			unplaced-scaffold	35488			scaffold-242
GCA_000766475.2	Primary Assembly	Un			JRIU01000185.1	Chromosome			unplaced-scaffold	11680			scaffold-243
GCA_000766475.2	Primary Assembly	Un			JRIU01000186.1	Chromosome			unplaced-scaffold	75952			scaffold-245
GCA_000766475.2	Primary Assembly	Un			JRIU01000187.1	Chromosome			unplaced-scaffold	24915			scaffold-246
GCA_000766475.2	Primary Assembly	Un			JRIU01000188.1	Chromosome			unplaced-scaffold	93523			scaffold-249
GCA_000766475.2	Primary Assembly	Un			JRIU01000189.1	Chromosome			unplaced-scaffold	9852			scaffold-250
GCA_000766475.2	Primary Assembly	Un			JRIU01000190.1	Chromosome			unplaced-scaffold	235			scaffold-252
GCA_000766475.2	Primary Assembly	Un			JRIU01000191.1	Chromosome			unplaced-scaffold	172874			scaffold-253
GCA_000766475.2	Primary Assembly	Un			JRIU01000192.1	Chromosome			unplaced-scaffold	114136			scaffold-255
GCA_000766475.2	Primary Assembly	Un			JRIU01000193.1	Chromosome			unplaced-scaffold	2184			scaffold-256
GCA_000766475.2	Primary Assembly	Un			JRIU01000194.1	Chromosome			unplaced-scaffold	3526			scaffold-257
GCA_000766475.2	Primary Assembly	Un			JRIU01000195.1	Chromosome			unplaced-scaffold	17280			scaffold-258
GCA_000766475.2	Primary Assembly	Un			JRIU01000196.1	Chromosome			unplaced-scaffold	1537			scaffold-259
GCA_000766475.2	Primary Assembly	Un			JRIU01000197.1	Chromosome			unplaced-scaffold	211			scaffold-260
GCA_000766475.2	Primary Assembly	Un			JRIU01000198.1	Chromosome			unplaced-scaffold	283			scaffold-261
GCA_000766475.2	Primary Assembly	Un			JRIU01000199.1	Chromosome			unplaced-scaffold	103298			scaffold-263
GCA_000766475.2	Primary Assembly	Un			JRIU01000200.1	Chromosome			unplaced-scaffold	18433			scaffold-264
GCA_000766475.2	Primary Assembly	Un			JRIU01000201.1	Chromosome			unplaced-scaffold	241589			scaffold-265
GCA_000766475.2	Primary Assembly	Un			JRIU01000202.1	Chromosome			unplaced-scaffold	18939			scaffold-266
GCA_000766475.2	Primary Assembly	Un			JRIU01000203.1	Chromosome			unplaced-scaffold	30927			scaffold-267
GCA_000766475.2	Primary Assembly	Un			JRIU01000204.1	Chromosome			unplaced-scaffold	236			scaffold-268
GCA_000766475.2	Primary Assembly	Un			JRIU01000205.1	Chromosome			unplaced-scaffold	54996			scaffold-269
GCA_000766475.2	Primary Assembly	Un			JRIU01000206.1	Chromosome			unplaced-scaffold	321			scaffold-271
GCA_000766475.2	Primary Assembly	Un			JRIU01000207.1	Chromosome			unplaced-scaffold	6441			scaffold-273
GCA_000766475.2	Primary Assembly	Un			JRIU01000208.1	Chromosome			unplaced-scaffold	46428			scaffold-274
GCA_000766475.2	Primary Assembly	Un			JRIU01000209.1	Chromosome			unplaced-scaffold	377			scaffold-275
GCA_000766475.2	Primary Assembly	Un			JRIU01000210.1	Chromosome			unplaced-scaffold	26756			scaffold-276
GCA_000766475.2	Primary Assembly	Un			JRIU01000211.1	Chromosome			unplaced-scaffold	253			scaffold-278
GCA_000766475.2	Primary Assembly	Un			JRIU01000212.1	Chromosome			unplaced-scaffold	97056			scaffold-279
GCA_000766475.2	Primary Assembly	Un			JRIU01000213.1	Chromosome			unplaced-scaffold	100299			scaffold-280
GCA_000766475.2	Primary Assembly	Un			JRIU01000214.1	Chromosome			unplaced-scaffold	1586			scaffold-282
GCA_000766475.2	Primary Assembly	Un			JRIU01000215.1	Chromosome			unplaced-scaffold	40602			scaffold-283
GCA_000766475.2	Primary Assembly	Un			JRIU01000216.1	Chromosome			unplaced-scaffold	85747			scaffold-287
GCA_000766475.2	Primary Assembly	Un			JRIU01000217.1	Chromosome			unplaced-scaffold	38622			scaffold-291
GCA_000766475.2	Primary Assembly	Un			JRIU01000218.1	Chromosome			unplaced-scaffold	251			scaffold-292
GCA_000766475.2	Primary Assembly	Un			JRIU01000219.1	Chromosome			unplaced-scaffold	68300			scaffold-296
GCA_000766475.2	Primary Assembly	Un			JRIU01000220.1	Chromosome			unplaced-scaffold	74430			scaffold-297
GCA_000766475.2	Primary Assembly	Un			JRIU01000221.1	Chromosome			unplaced-scaffold	59649			scaffold-298
GCA_000766475.2	Primary Assembly	Un			JRIU01000222.1	Chromosome			unplaced-scaffold	66247			scaffold-299
GCA_000766475.2	Primary Assembly	Un			JRIU01000223.1	Chromosome			unplaced-scaffold	1779			scaffold-300
GCA_000766475.2	Primary Assembly	Un			JRIU01000224.1	Chromosome			unplaced-scaffold	369			scaffold-301
GCA_000766475.2	Primary Assembly	Un			JRIU01000225.1	Chromosome			unplaced-scaffold	37117			scaffold-303
GCA_000766475.2	Primary Assembly	Un			JRIU01000226.1	Chromosome			unplaced-scaffold	4264			scaffold-304
GCA_000766475.2	Primary Assembly	Un			JRIU01000227.1	Chromosome			unplaced-scaffold	161315			scaffold-305
GCA_000766475.2	Primary Assembly	Un			JRIU01000228.1	Chromosome			unplaced-scaffold	58506			scaffold-306
GCA_000766475.2	Primary Assembly	Un			JRIU01000229.1	Chromosome			unplaced-scaffold	15387			scaffold-307
GCA_000766475.2	Primary Assembly	Un			JRIU01000230.1	Chromosome			unplaced-scaffold	162216			scaffold-308
GCA_000766475.2	Primary Assembly	Un			JRIU01000231.1	Chromosome			unplaced-scaffold	272			scaffold-314
GCA_000766475.2	Primary Assembly	Un			JRIU01000232.1	Chromosome			unplaced-scaffold	3434			scaffold-315
GCA_000766475.2	Primary Assembly	Un			JRIU01000233.1	Chromosome			unplaced-scaffold	5473			scaffold-318
GCA_000766475.2	Primary Assembly	Un			JRIU01000234.1	Chromosome			unplaced-scaffold	791			scaffold-319
GCA_000766475.2	Primary Assembly	Un			JRIU01000235.1	Chromosome			unplaced-scaffold	74472			scaffold-320
GCA_000766475.2	Primary Assembly	Un			JRIU01000236.1	Chromosome			unplaced-scaffold	264			scaffold-322
GCA_000766475.2	Primary Assembly	Un			JRIU01000237.1	Chromosome			unplaced-scaffold	25567			scaffold-323
GCA_000766475.2	Primary Assembly	Un			JRIU01000238.1	Chromosome			unplaced-scaffold	3011			scaffold-324
GCA_000766475.2	Primary Assembly	Un			JRIU01000239.1	Chromosome			unplaced-scaffold	215			scaffold-325
GCA_000766475.2	Primary Assembly	Un			JRIU01000240.1	Chromosome			unplaced-scaffold	61119			scaffold-327
GCA_000766475.2	Primary Assembly	Un			JRIU01000241.1	Chromosome			unplaced-scaffold	252			scaffold-328
GCA_000766475.2	Primary Assembly	Un			JRIU01000242.1	Chromosome			unplaced-scaffold	26286			scaffold-329
GCA_000766475.2	Primary Assembly	Un			JRIU01000243.1	Chromosome			unplaced-scaffold	9473			scaffold-332
