VCF_Chromosome	SnpEff_Chromosome	JRIU_Number	Scaffold_Number	Mapping_Type	GenBank_File
JRIU01000232.1	w303_scaffold_2	2	2	Number match	w303_13Apr2025_scaffold_2.genbank
JRIU01000222.1	w303_scaffold_2	2	2	Number match	w303_13Apr2025_scaffold_2.genbank
JRIU01000212.1	w303_scaffold_2	2	2	Number match	w303_13Apr2025_scaffold_2.genbank
JRIU01000202.1	w303_scaffold_2	2	2	Number match	w303_13Apr2025_scaffold_2.genbank
JRIU01000192.1	w303_scaffold_2	2	2	Number match	w303_13Apr2025_scaffold_2.genbank
JRIU01000182.1	w303_scaffold_2	2	2	Number match	w303_13Apr2025_scaffold_2.genbank
JRIU01000172.1	w303_scaffold_2	2	2	Number match	w303_13Apr2025_scaffold_2.genbank
JRIU01000162.1	w303_scaffold_2	2	2	Number match	w303_13Apr2025_scaffold_2.genbank
JRIU01000152.1	w303_scaffold_2	2	2	Number match	w303_13Apr2025_scaffold_2.genbank
JRIU01000142.1	w303_scaffold_2	2	2	Number match	w303_13Apr2025_scaffold_2.genbank
JRIU01000132.1	w303_scaffold_2	2	2	Number match	w303_13Apr2025_scaffold_2.genbank
JRIU01000122.1	w303_scaffold_2	2	2	Number match	w303_13Apr2025_scaffold_2.genbank
JRIU01000112.1	w303_scaffold_2	2	2	Number match	w303_13Apr2025_scaffold_2.genbank
JRIU01000102.1	w303_scaffold_2	2	2	Number match	w303_13Apr2025_scaffold_2.genbank
JRIU01000092.1	w303_scaffold_2	2	2	Number match	w303_13Apr2025_scaffold_2.genbank
JRIU01000082.1	w303_scaffold_2	2	2	Number match	w303_13Apr2025_scaffold_2.genbank
JRIU01000072.1	w303_scaffold_2	2	2	Number match	w303_13Apr2025_scaffold_2.genbank
JRIU01000062.1	w303_scaffold_2	2	2	Number match	w303_13Apr2025_scaffold_2.genbank
JRIU01000052.1	w303_scaffold_2	2	2	Number match	w303_13Apr2025_scaffold_2.genbank
JRIU01000042.1	w303_scaffold_2	2	2	Number match	w303_13Apr2025_scaffold_2.genbank
JRIU01000032.1	w303_scaffold_2	2	2	Number match	w303_13Apr2025_scaffold_2.genbank
JRIU01000022.1	w303_scaffold_2	2	2	Number match	w303_13Apr2025_scaffold_2.genbank
JRIU01000012.1	w303_scaffold_2	2	2	Number match	w303_13Apr2025_scaffold_2.genbank
JRIU01000002.1	w303_scaffold_2	2	2	Number match	w303_13Apr2025_scaffold_2.genbank
JRIU01000412.1	w303_scaffold_2	2	2	Number match	w303_13Apr2025_scaffold_2.genbank
JRIU01000402.1	w303_scaffold_2	2	2	Number match	w303_13Apr2025_scaffold_2.genbank
JRIU01000392.1	w303_scaffold_2	2	2	Number match	w303_13Apr2025_scaffold_2.genbank
JRIU01000382.1	w303_scaffold_2	2	2	Number match	w303_13Apr2025_scaffold_2.genbank
JRIU01000372.1	w303_scaffold_2	2	2	Number match	w303_13Apr2025_scaffold_2.genbank
JRIU01000363.1	w303_scaffold_3	3	3	Number match	w303_13Apr2025_scaffold_3.genbank
JRIU01000353.1	w303_scaffold_3	3	3	Number match	w303_13Apr2025_scaffold_3.genbank
JRIU01000343.1	w303_scaffold_3	3	3	Number match	w303_13Apr2025_scaffold_3.genbank
JRIU01000333.1	w303_scaffold_3	3	3	Number match	w303_13Apr2025_scaffold_3.genbank
JRIU01000323.1	w303_scaffold_3	3	3	Number match	w303_13Apr2025_scaffold_3.genbank
JRIU01000313.1	w303_scaffold_3	3	3	Number match	w303_13Apr2025_scaffold_3.genbank
JRIU01000303.1	w303_scaffold_3	3	3	Number match	w303_13Apr2025_scaffold_3.genbank
JRIU01000293.1	w303_scaffold_3	3	3	Number match	w303_13Apr2025_scaffold_3.genbank
JRIU01000283.1	w303_scaffold_3	3	3	Number match	w303_13Apr2025_scaffold_3.genbank
JRIU01000273.1	w303_scaffold_3	3	3	Number match	w303_13Apr2025_scaffold_3.genbank
JRIU01000263.1	w303_scaffold_3	3	3	Number match	w303_13Apr2025_scaffold_3.genbank
JRIU01000253.1	w303_scaffold_3	3	3	Number match	w303_13Apr2025_scaffold_3.genbank
JRIU01000243.1	w303_scaffold_3	3	3	Number match	w303_13Apr2025_scaffold_3.genbank
JRIU01000233.1	w303_scaffold_3	3	3	Number match	w303_13Apr2025_scaffold_3.genbank
JRIU01000223.1	w303_scaffold_3	3	3	Number match	w303_13Apr2025_scaffold_3.genbank
JRIU01000213.1	w303_scaffold_3	3	3	Number match	w303_13Apr2025_scaffold_3.genbank
JRIU01000203.1	w303_scaffold_3	3	3	Number match	w303_13Apr2025_scaffold_3.genbank
JRIU01000193.1	w303_scaffold_3	3	3	Number match	w303_13Apr2025_scaffold_3.genbank
JRIU01000183.1	w303_scaffold_3	3	3	Number match	w303_13Apr2025_scaffold_3.genbank
JRIU01000173.1	w303_scaffold_3	3	3	Number match	w303_13Apr2025_scaffold_3.genbank
JRIU01000163.1	w303_scaffold_3	3	3	Number match	w303_13Apr2025_scaffold_3.genbank
JRIU01000153.1	w303_scaffold_3	3	3	Number match	w303_13Apr2025_scaffold_3.genbank
JRIU01000143.1	w303_scaffold_3	3	3	Number match	w303_13Apr2025_scaffold_3.genbank
JRIU01000133.1	w303_scaffold_3	3	3	Number match	w303_13Apr2025_scaffold_3.genbank
JRIU01000123.1	w303_scaffold_3	3	3	Number match	w303_13Apr2025_scaffold_3.genbank
JRIU01000113.1	w303_scaffold_3	3	3	Number match	w303_13Apr2025_scaffold_3.genbank
JRIU01000103.1	w303_scaffold_3	3	3	Number match	w303_13Apr2025_scaffold_3.genbank
JRIU01000093.1	w303_scaffold_3	3	3	Number match	w303_13Apr2025_scaffold_3.genbank
JRIU01000083.1	w303_scaffold_3	3	3	Number match	w303_13Apr2025_scaffold_3.genbank
JRIU01000073.1	w303_scaffold_3	3	3	Number match	w303_13Apr2025_scaffold_3.genbank
JRIU01000063.1	w303_scaffold_3	3	3	Number match	w303_13Apr2025_scaffold_3.genbank
JRIU01000053.1	w303_scaffold_3	3	3	Number match	w303_13Apr2025_scaffold_3.genbank
JRIU01000043.1	w303_scaffold_3	3	3	Number match	w303_13Apr2025_scaffold_3.genbank
JRIU01000033.1	w303_scaffold_3	3	3	Number match	w303_13Apr2025_scaffold_3.genbank
JRIU01000023.1	w303_scaffold_3	3	3	Number match	w303_13Apr2025_scaffold_3.genbank
JRIU01000013.1	w303_scaffold_3	3	3	Number match	w303_13Apr2025_scaffold_3.genbank
JRIU01000003.1	w303_scaffold_3	3	3	Number match	w303_13Apr2025_scaffold_3.genbank
JRIU01000413.1	w303_scaffold_3	3	3	Number match	w303_13Apr2025_scaffold_3.genbank
JRIU01000403.1	w303_scaffold_3	3	3	Number match	w303_13Apr2025_scaffold_3.genbank
JRIU01000393.1	w303_scaffold_3	3	3	Number match	w303_13Apr2025_scaffold_3.genbank
JRIU01000383.1	w303_scaffold_3	3	3	Number match	w303_13Apr2025_scaffold_3.genbank
JRIU01000373.1	w303_scaffold_3	3	3	Number match	w303_13Apr2025_scaffold_3.genbank
JRIU01000364.1	w303_scaffold_4	4	4	Number match	w303_13Apr2025_scaffold_4.genbank
JRIU01000354.1	w303_scaffold_4	4	4	Number match	w303_13Apr2025_scaffold_4.genbank
JRIU01000344.1	w303_scaffold_4	4	4	Number match	w303_13Apr2025_scaffold_4.genbank
JRIU01000334.1	w303_scaffold_4	4	4	Number match	w303_13Apr2025_scaffold_4.genbank
JRIU01000324.1	w303_scaffold_4	4	4	Number match	w303_13Apr2025_scaffold_4.genbank
JRIU01000314.1	w303_scaffold_4	4	4	Number match	w303_13Apr2025_scaffold_4.genbank
JRIU01000304.1	w303_scaffold_4	4	4	Number match	w303_13Apr2025_scaffold_4.genbank
JRIU01000294.1	w303_scaffold_4	4	4	Number match	w303_13Apr2025_scaffold_4.genbank
JRIU01000284.1	w303_scaffold_4	4	4	Number match	w303_13Apr2025_scaffold_4.genbank
JRIU01000274.1	w303_scaffold_4	4	4	Number match	w303_13Apr2025_scaffold_4.genbank
JRIU01000264.1	w303_scaffold_4	4	4	Number match	w303_13Apr2025_scaffold_4.genbank
JRIU01000254.1	w303_scaffold_4	4	4	Number match	w303_13Apr2025_scaffold_4.genbank
JRIU01000244.1	w303_scaffold_4	4	4	Number match	w303_13Apr2025_scaffold_4.genbank
JRIU01000234.1	w303_scaffold_4	4	4	Number match	w303_13Apr2025_scaffold_4.genbank
JRIU01000224.1	w303_scaffold_4	4	4	Number match	w303_13Apr2025_scaffold_4.genbank
JRIU01000214.1	w303_scaffold_4	4	4	Number match	w303_13Apr2025_scaffold_4.genbank
JRIU01000204.1	w303_scaffold_4	4	4	Number match	w303_13Apr2025_scaffold_4.genbank
JRIU01000194.1	w303_scaffold_4	4	4	Number match	w303_13Apr2025_scaffold_4.genbank
JRIU01000184.1	w303_scaffold_4	4	4	Number match	w303_13Apr2025_scaffold_4.genbank
JRIU01000174.1	w303_scaffold_4	4	4	Number match	w303_13Apr2025_scaffold_4.genbank
JRIU01000164.1	w303_scaffold_4	4	4	Number match	w303_13Apr2025_scaffold_4.genbank
JRIU01000154.1	w303_scaffold_4	4	4	Number match	w303_13Apr2025_scaffold_4.genbank
JRIU01000144.1	w303_scaffold_4	4	4	Number match	w303_13Apr2025_scaffold_4.genbank
JRIU01000134.1	w303_scaffold_4	4	4	Number match	w303_13Apr2025_scaffold_4.genbank
JRIU01000124.1	w303_scaffold_4	4	4	Number match	w303_13Apr2025_scaffold_4.genbank
JRIU01000114.1	w303_scaffold_4	4	4	Number match	w303_13Apr2025_scaffold_4.genbank
JRIU01000104.1	w303_scaffold_4	4	4	Number match	w303_13Apr2025_scaffold_4.genbank
JRIU01000094.1	w303_scaffold_4	4	4	Number match	w303_13Apr2025_scaffold_4.genbank
JRIU01000084.1	w303_scaffold_4	4	4	Number match	w303_13Apr2025_scaffold_4.genbank
JRIU01000074.1	w303_scaffold_4	4	4	Number match	w303_13Apr2025_scaffold_4.genbank
JRIU01000064.1	w303_scaffold_4	4	4	Number match	w303_13Apr2025_scaffold_4.genbank
JRIU01000054.1	w303_scaffold_4	4	4	Number match	w303_13Apr2025_scaffold_4.genbank
JRIU01000044.1	w303_scaffold_4	4	4	Number match	w303_13Apr2025_scaffold_4.genbank
JRIU01000034.1	w303_scaffold_4	4	4	Number match	w303_13Apr2025_scaffold_4.genbank
JRIU01000024.1	w303_scaffold_4	4	4	Number match	w303_13Apr2025_scaffold_4.genbank
JRIU01000014.1	w303_scaffold_4	4	4	Number match	w303_13Apr2025_scaffold_4.genbank
JRIU01000004.1	w303_scaffold_4	4	4	Number match	w303_13Apr2025_scaffold_4.genbank
JRIU01000414.1	w303_scaffold_4	4	4	Number match	w303_13Apr2025_scaffold_4.genbank
JRIU01000404.1	w303_scaffold_4	4	4	Number match	w303_13Apr2025_scaffold_4.genbank
JRIU01000394.1	w303_scaffold_4	4	4	Number match	w303_13Apr2025_scaffold_4.genbank
JRIU01000384.1	w303_scaffold_4	4	4	Number match	w303_13Apr2025_scaffold_4.genbank
JRIU01000374.1	w303_scaffold_4	4	4	Number match	w303_13Apr2025_scaffold_4.genbank
JRIU01000365.1	w303_scaffold_5	5	5	Number match	w303_13Apr2025_scaffold_5.genbank
JRIU01000355.1	w303_scaffold_5	5	5	Number match	w303_13Apr2025_scaffold_5.genbank
JRIU01000345.1	w303_scaffold_5	5	5	Number match	w303_13Apr2025_scaffold_5.genbank
JRIU01000335.1	w303_scaffold_5	5	5	Number match	w303_13Apr2025_scaffold_5.genbank
JRIU01000325.1	w303_scaffold_5	5	5	Number match	w303_13Apr2025_scaffold_5.genbank
JRIU01000315.1	w303_scaffold_5	5	5	Number match	w303_13Apr2025_scaffold_5.genbank
JRIU01000305.1	w303_scaffold_5	5	5	Number match	w303_13Apr2025_scaffold_5.genbank
JRIU01000295.1	w303_scaffold_5	5	5	Number match	w303_13Apr2025_scaffold_5.genbank
JRIU01000285.1	w303_scaffold_5	5	5	Number match	w303_13Apr2025_scaffold_5.genbank
JRIU01000275.1	w303_scaffold_5	5	5	Number match	w303_13Apr2025_scaffold_5.genbank
JRIU01000265.1	w303_scaffold_5	5	5	Number match	w303_13Apr2025_scaffold_5.genbank
JRIU01000255.1	w303_scaffold_5	5	5	Number match	w303_13Apr2025_scaffold_5.genbank
JRIU01000245.1	w303_scaffold_5	5	5	Number match	w303_13Apr2025_scaffold_5.genbank
JRIU01000235.1	w303_scaffold_5	5	5	Number match	w303_13Apr2025_scaffold_5.genbank
JRIU01000225.1	w303_scaffold_5	5	5	Number match	w303_13Apr2025_scaffold_5.genbank
JRIU01000215.1	w303_scaffold_5	5	5	Number match	w303_13Apr2025_scaffold_5.genbank
JRIU01000205.1	w303_scaffold_5	5	5	Number match	w303_13Apr2025_scaffold_5.genbank
JRIU01000195.1	w303_scaffold_5	5	5	Number match	w303_13Apr2025_scaffold_5.genbank
JRIU01000185.1	w303_scaffold_5	5	5	Number match	w303_13Apr2025_scaffold_5.genbank
JRIU01000175.1	w303_scaffold_5	5	5	Number match	w303_13Apr2025_scaffold_5.genbank
JRIU01000165.1	w303_scaffold_5	5	5	Number match	w303_13Apr2025_scaffold_5.genbank
JRIU01000155.1	w303_scaffold_5	5	5	Number match	w303_13Apr2025_scaffold_5.genbank
JRIU01000145.1	w303_scaffold_5	5	5	Number match	w303_13Apr2025_scaffold_5.genbank
JRIU01000135.1	w303_scaffold_5	5	5	Number match	w303_13Apr2025_scaffold_5.genbank
JRIU01000125.1	w303_scaffold_5	5	5	Number match	w303_13Apr2025_scaffold_5.genbank
JRIU01000115.1	w303_scaffold_5	5	5	Number match	w303_13Apr2025_scaffold_5.genbank
JRIU01000105.1	w303_scaffold_5	5	5	Number match	w303_13Apr2025_scaffold_5.genbank
JRIU01000095.1	w303_scaffold_5	5	5	Number match	w303_13Apr2025_scaffold_5.genbank
JRIU01000085.1	w303_scaffold_5	5	5	Number match	w303_13Apr2025_scaffold_5.genbank
JRIU01000075.1	w303_scaffold_5	5	5	Number match	w303_13Apr2025_scaffold_5.genbank
JRIU01000065.1	w303_scaffold_5	5	5	Number match	w303_13Apr2025_scaffold_5.genbank
JRIU01000055.1	w303_scaffold_5	5	5	Number match	w303_13Apr2025_scaffold_5.genbank
JRIU01000045.1	w303_scaffold_5	5	5	Number match	w303_13Apr2025_scaffold_5.genbank
JRIU01000035.1	w303_scaffold_5	5	5	Number match	w303_13Apr2025_scaffold_5.genbank
JRIU01000025.1	w303_scaffold_5	5	5	Number match	w303_13Apr2025_scaffold_5.genbank
JRIU01000015.1	w303_scaffold_5	5	5	Number match	w303_13Apr2025_scaffold_5.genbank
JRIU01000005.1	w303_scaffold_5	5	5	Number match	w303_13Apr2025_scaffold_5.genbank
JRIU01000415.1	w303_scaffold_5	5	5	Number match	w303_13Apr2025_scaffold_5.genbank
JRIU01000405.1	w303_scaffold_5	5	5	Number match	w303_13Apr2025_scaffold_5.genbank
JRIU01000395.1	w303_scaffold_5	5	5	Number match	w303_13Apr2025_scaffold_5.genbank
JRIU01000385.1	w303_scaffold_5	5	5	Number match	w303_13Apr2025_scaffold_5.genbank
JRIU01000375.1	w303_scaffold_5	5	5	Number match	w303_13Apr2025_scaffold_5.genbank
JRIU01000366.1	w303_scaffold_6	6	6	Number match	w303_13Apr2025_scaffold_6.genbank
JRIU01000356.1	w303_scaffold_6	6	6	Number match	w303_13Apr2025_scaffold_6.genbank
JRIU01000346.1	w303_scaffold_6	6	6	Number match	w303_13Apr2025_scaffold_6.genbank
JRIU01000336.1	w303_scaffold_6	6	6	Number match	w303_13Apr2025_scaffold_6.genbank
JRIU01000326.1	w303_scaffold_6	6	6	Number match	w303_13Apr2025_scaffold_6.genbank
JRIU01000316.1	w303_scaffold_6	6	6	Number match	w303_13Apr2025_scaffold_6.genbank
JRIU01000306.1	w303_scaffold_6	6	6	Number match	w303_13Apr2025_scaffold_6.genbank
JRIU01000296.1	w303_scaffold_6	6	6	Number match	w303_13Apr2025_scaffold_6.genbank
JRIU01000286.1	w303_scaffold_6	6	6	Number match	w303_13Apr2025_scaffold_6.genbank
JRIU01000276.1	w303_scaffold_6	6	6	Number match	w303_13Apr2025_scaffold_6.genbank
JRIU01000266.1	w303_scaffold_6	6	6	Number match	w303_13Apr2025_scaffold_6.genbank
JRIU01000256.1	w303_scaffold_6	6	6	Number match	w303_13Apr2025_scaffold_6.genbank
JRIU01000246.1	w303_scaffold_6	6	6	Number match	w303_13Apr2025_scaffold_6.genbank
JRIU01000236.1	w303_scaffold_6	6	6	Number match	w303_13Apr2025_scaffold_6.genbank
JRIU01000226.1	w303_scaffold_6	6	6	Number match	w303_13Apr2025_scaffold_6.genbank
JRIU01000216.1	w303_scaffold_6	6	6	Number match	w303_13Apr2025_scaffold_6.genbank
JRIU01000206.1	w303_scaffold_6	6	6	Number match	w303_13Apr2025_scaffold_6.genbank
JRIU01000196.1	w303_scaffold_6	6	6	Number match	w303_13Apr2025_scaffold_6.genbank
JRIU01000186.1	w303_scaffold_6	6	6	Number match	w303_13Apr2025_scaffold_6.genbank
JRIU01000176.1	w303_scaffold_6	6	6	Number match	w303_13Apr2025_scaffold_6.genbank
JRIU01000166.1	w303_scaffold_6	6	6	Number match	w303_13Apr2025_scaffold_6.genbank
JRIU01000156.1	w303_scaffold_6	6	6	Number match	w303_13Apr2025_scaffold_6.genbank
JRIU01000146.1	w303_scaffold_6	6	6	Number match	w303_13Apr2025_scaffold_6.genbank
JRIU01000136.1	w303_scaffold_6	6	6	Number match	w303_13Apr2025_scaffold_6.genbank
JRIU01000126.1	w303_scaffold_6	6	6	Number match	w303_13Apr2025_scaffold_6.genbank
JRIU01000116.1	w303_scaffold_6	6	6	Number match	w303_13Apr2025_scaffold_6.genbank
JRIU01000106.1	w303_scaffold_6	6	6	Number match	w303_13Apr2025_scaffold_6.genbank
JRIU01000096.1	w303_scaffold_6	6	6	Number match	w303_13Apr2025_scaffold_6.genbank
JRIU01000086.1	w303_scaffold_6	6	6	Number match	w303_13Apr2025_scaffold_6.genbank
JRIU01000076.1	w303_scaffold_6	6	6	Number match	w303_13Apr2025_scaffold_6.genbank
JRIU01000066.1	w303_scaffold_6	6	6	Number match	w303_13Apr2025_scaffold_6.genbank
JRIU01000056.1	w303_scaffold_6	6	6	Number match	w303_13Apr2025_scaffold_6.genbank
JRIU01000046.1	w303_scaffold_6	6	6	Number match	w303_13Apr2025_scaffold_6.genbank
JRIU01000036.1	w303_scaffold_6	6	6	Number match	w303_13Apr2025_scaffold_6.genbank
JRIU01000026.1	w303_scaffold_6	6	6	Number match	w303_13Apr2025_scaffold_6.genbank
JRIU01000016.1	w303_scaffold_6	6	6	Number match	w303_13Apr2025_scaffold_6.genbank
JRIU01000006.1	w303_scaffold_6	6	6	Number match	w303_13Apr2025_scaffold_6.genbank
JRIU01000406.1	w303_scaffold_6	6	6	Number match	w303_13Apr2025_scaffold_6.genbank
JRIU01000396.1	w303_scaffold_6	6	6	Number match	w303_13Apr2025_scaffold_6.genbank
JRIU01000386.1	w303_scaffold_6	6	6	Number match	w303_13Apr2025_scaffold_6.genbank
JRIU01000376.1	w303_scaffold_6	6	6	Number match	w303_13Apr2025_scaffold_6.genbank
JRIU01000367.1	w303_scaffold_7	7	7	Number match	w303_13Apr2025_scaffold_7.genbank
JRIU01000357.1	w303_scaffold_7	7	7	Number match	w303_13Apr2025_scaffold_7.genbank
JRIU01000347.1	w303_scaffold_7	7	7	Number match	w303_13Apr2025_scaffold_7.genbank
JRIU01000337.1	w303_scaffold_7	7	7	Number match	w303_13Apr2025_scaffold_7.genbank
JRIU01000327.1	w303_scaffold_7	7	7	Number match	w303_13Apr2025_scaffold_7.genbank
JRIU01000317.1	w303_scaffold_7	7	7	Number match	w303_13Apr2025_scaffold_7.genbank
JRIU01000307.1	w303_scaffold_7	7	7	Number match	w303_13Apr2025_scaffold_7.genbank
JRIU01000297.1	w303_scaffold_7	7	7	Number match	w303_13Apr2025_scaffold_7.genbank
JRIU01000287.1	w303_scaffold_7	7	7	Number match	w303_13Apr2025_scaffold_7.genbank
JRIU01000277.1	w303_scaffold_7	7	7	Number match	w303_13Apr2025_scaffold_7.genbank
JRIU01000267.1	w303_scaffold_7	7	7	Number match	w303_13Apr2025_scaffold_7.genbank
JRIU01000257.1	w303_scaffold_7	7	7	Number match	w303_13Apr2025_scaffold_7.genbank
JRIU01000247.1	w303_scaffold_7	7	7	Number match	w303_13Apr2025_scaffold_7.genbank
JRIU01000237.1	w303_scaffold_7	7	7	Number match	w303_13Apr2025_scaffold_7.genbank
JRIU01000227.1	w303_scaffold_7	7	7	Number match	w303_13Apr2025_scaffold_7.genbank
JRIU01000217.1	w303_scaffold_7	7	7	Number match	w303_13Apr2025_scaffold_7.genbank
JRIU01000207.1	w303_scaffold_7	7	7	Number match	w303_13Apr2025_scaffold_7.genbank
JRIU01000197.1	w303_scaffold_7	7	7	Number match	w303_13Apr2025_scaffold_7.genbank
JRIU01000187.1	w303_scaffold_7	7	7	Number match	w303_13Apr2025_scaffold_7.genbank
JRIU01000177.1	w303_scaffold_7	7	7	Number match	w303_13Apr2025_scaffold_7.genbank
JRIU01000167.1	w303_scaffold_7	7	7	Number match	w303_13Apr2025_scaffold_7.genbank
JRIU01000157.1	w303_scaffold_7	7	7	Number match	w303_13Apr2025_scaffold_7.genbank
JRIU01000147.1	w303_scaffold_7	7	7	Number match	w303_13Apr2025_scaffold_7.genbank
JRIU01000137.1	w303_scaffold_7	7	7	Number match	w303_13Apr2025_scaffold_7.genbank
JRIU01000127.1	w303_scaffold_7	7	7	Number match	w303_13Apr2025_scaffold_7.genbank
JRIU01000117.1	w303_scaffold_7	7	7	Number match	w303_13Apr2025_scaffold_7.genbank
JRIU01000107.1	w303_scaffold_7	7	7	Number match	w303_13Apr2025_scaffold_7.genbank
JRIU01000097.1	w303_scaffold_7	7	7	Number match	w303_13Apr2025_scaffold_7.genbank
JRIU01000087.1	w303_scaffold_7	7	7	Number match	w303_13Apr2025_scaffold_7.genbank
JRIU01000077.1	w303_scaffold_7	7	7	Number match	w303_13Apr2025_scaffold_7.genbank
JRIU01000067.1	w303_scaffold_7	7	7	Number match	w303_13Apr2025_scaffold_7.genbank
JRIU01000057.1	w303_scaffold_7	7	7	Number match	w303_13Apr2025_scaffold_7.genbank
