JRIU_Chromosome	JRIU_Number	W303_Scaffold	W303_Number	Mapping_Type
JRIU01000094.1	4	w303_scaffold_176	176	Numeric_Order
JRIU01000084.1	4	w303_scaffold_177	177	Numeric_Order
JRIU01000074.1	4	w303_scaffold_178	178	Numeric_Order
JRIU01000064.1	4	w303_scaffold_179	179	Numeric_Order
JRIU01000054.1	4	w303_scaffold_180	180	Numeric_Order
JRIU01000044.1	4	w303_scaffold_181	181	Numeric_Order
JRIU01000034.1	4	w303_scaffold_182	182	Numeric_Order
JRIU01000024.1	4	w303_scaffold_183	183	Numeric_Order
JRIU01000014.1	4	w303_scaffold_184	184	Numeric_Order
JRIU01000004.1	4	w303_scaffold_185	185	Numeric_Order
JRIU01000414.1	4	w303_scaffold_186	186	Numeric_Order
JRIU01000404.1	4	w303_scaffold_187	187	Numeric_Order
JRIU01000394.1	4	w303_scaffold_188	188	Numeric_Order
JRIU01000384.1	4	w303_scaffold_189	189	Numeric_Order
JRIU01000374.1	4	w303_scaffold_190	190	Numeric_Order
JRIU01000365.1	5	w303_scaffold_191	191	Numeric_Order
JRIU01000355.1	5	w303_scaffold_192	192	Numeric_Order
JRIU01000345.1	5	w303_scaffold_193	193	Numeric_Order
JRIU01000335.1	5	w303_scaffold_194	194	Numeric_Order
JRIU01000325.1	5	w303_scaffold_195	195	Numeric_Order
JRIU01000315.1	5	w303_scaffold_196	196	Numeric_Order
JRIU01000305.1	5	w303_scaffold_197	197	Numeric_Order
JRIU01000295.1	5	w303_scaffold_198	198	Numeric_Order
JRIU01000285.1	5	w303_scaffold_199	199	Numeric_Order
JRIU01000275.1	5	w303_scaffold_200	200	Numeric_Order
JRIU01000265.1	5	w303_scaffold_201	201	Numeric_Order
JRIU01000255.1	5	w303_scaffold_202	202	Numeric_Order
JRIU01000245.1	5	w303_scaffold_203	203	Numeric_Order
JRIU01000235.1	5	w303_scaffold_204	204	Numeric_Order
JRIU01000225.1	5	w303_scaffold_205	205	Numeric_Order
JRIU01000215.1	5	w303_scaffold_206	206	Numeric_Order
JRIU01000205.1	5	w303_scaffold_207	207	Numeric_Order
JRIU01000195.1	5	w303_scaffold_208	208	Numeric_Order
JRIU01000185.1	5	w303_scaffold_209	209	Numeric_Order
JRIU01000175.1	5	w303_scaffold_210	210	Numeric_Order
JRIU01000165.1	5	w303_scaffold_211	211	Numeric_Order
JRIU01000155.1	5	w303_scaffold_212	212	Numeric_Order
JRIU01000145.1	5	w303_scaffold_213	213	Numeric_Order
JRIU01000135.1	5	w303_scaffold_214	214	Numeric_Order
JRIU01000125.1	5	w303_scaffold_215	215	Numeric_Order
JRIU01000115.1	5	w303_scaffold_216	216	Numeric_Order
JRIU01000105.1	5	w303_scaffold_217	217	Numeric_Order
JRIU01000095.1	5	w303_scaffold_218	218	Numeric_Order
JRIU01000085.1	5	w303_scaffold_219	219	Numeric_Order
JRIU01000075.1	5	w303_scaffold_220	220	Numeric_Order
JRIU01000065.1	5	w303_scaffold_221	221	Numeric_Order
JRIU01000055.1	5	w303_scaffold_222	222	Numeric_Order
JRIU01000045.1	5	w303_scaffold_223	223	Numeric_Order
JRIU01000035.1	5	w303_scaffold_224	224	Numeric_Order
JRIU01000025.1	5	w303_scaffold_225	225	Numeric_Order
JRIU01000015.1	5	w303_scaffold_226	226	Numeric_Order
JRIU01000005.1	5	w303_scaffold_227	227	Numeric_Order
JRIU01000415.1	5	w303_scaffold_228	228	Numeric_Order
JRIU01000405.1	5	w303_scaffold_229	229	Numeric_Order
JRIU01000395.1	5	w303_scaffold_230	230	Numeric_Order
JRIU01000385.1	5	w303_scaffold_231	231	Numeric_Order
JRIU01000375.1	5	w303_scaffold_232	232	Numeric_Order
JRIU01000366.1	6	w303_scaffold_233	233	Numeric_Order
JRIU01000356.1	6	w303_scaffold_234	234	Numeric_Order
JRIU01000346.1	6	w303_scaffold_235	235	Numeric_Order
JRIU01000336.1	6	w303_scaffold_236	236	Numeric_Order
JRIU01000326.1	6	w303_scaffold_237	237	Numeric_Order
JRIU01000316.1	6	w303_scaffold_238	238	Numeric_Order
JRIU01000306.1	6	w303_scaffold_239	239	Numeric_Order
JRIU01000296.1	6	w303_scaffold_240	240	Numeric_Order
JRIU01000286.1	6	w303_scaffold_241	241	Numeric_Order
JRIU01000276.1	6	w303_scaffold_242	242	Numeric_Order
JRIU01000266.1	6	w303_scaffold_243	243	Numeric_Order
JRIU01000256.1	6	w303_scaffold_244	244	Numeric_Order
JRIU01000246.1	6	w303_scaffold_245	245	Numeric_Order
JRIU01000236.1	6	w303_scaffold_246	246	Numeric_Order
JRIU01000226.1	6	w303_scaffold_247	247	Numeric_Order
JRIU01000216.1	6	w303_scaffold_248	248	Numeric_Order
JRIU01000206.1	6	w303_scaffold_249	249	Numeric_Order
JRIU01000196.1	6	w303_scaffold_250	250	Numeric_Order
JRIU01000186.1	6	w303_scaffold_251	251	Numeric_Order
JRIU01000176.1	6	w303_scaffold_252	252	Numeric_Order
JRIU01000166.1	6	w303_scaffold_253	253	Numeric_Order
JRIU01000156.1	6	w303_scaffold_254	254	Numeric_Order
JRIU01000146.1	6	w303_scaffold_255	255	Numeric_Order
JRIU01000136.1	6	w303_scaffold_256	256	Numeric_Order
JRIU01000126.1	6	w303_scaffold_257	257	Numeric_Order
JRIU01000116.1	6	w303_scaffold_258	258	Numeric_Order
JRIU01000106.1	6	w303_scaffold_259	259	Numeric_Order
JRIU01000096.1	6	w303_scaffold_260	260	Numeric_Order
JRIU01000086.1	6	w303_scaffold_261	261	Numeric_Order
JRIU01000076.1	6	w303_scaffold_262	262	Numeric_Order
JRIU01000066.1	6	w303_scaffold_263	263	Numeric_Order
JRIU01000056.1	6	w303_scaffold_264	264	Numeric_Order
JRIU01000046.1	6	w303_scaffold_265	265	Numeric_Order
JRIU01000036.1	6	w303_scaffold_266	266	Numeric_Order
JRIU01000026.1	6	w303_scaffold_267	267	Numeric_Order
JRIU01000016.1	6	w303_scaffold_268	268	Numeric_Order
JRIU01000006.1	6	w303_scaffold_270	270	Numeric_Order
JRIU01000406.1	6	w303_scaffold_271	271	Numeric_Order
JRIU01000396.1	6	w303_scaffold_272	272	Numeric_Order
JRIU01000386.1	6	w303_scaffold_274	274	Numeric_Order
JRIU01000376.1	6	w303_scaffold_275	275	Numeric_Order
JRIU01000367.1	7	w303_scaffold_276	276	Numeric_Order
JRIU01000357.1	7	w303_scaffold_277	277	Numeric_Order
JRIU01000347.1	7	w303_scaffold_278	278	Numeric_Order
JRIU01000337.1	7	w303_scaffold_279	279	Numeric_Order
JRIU01000327.1	7	w303_scaffold_280	280	Numeric_Order
JRIU01000317.1	7	w303_scaffold_281	281	Numeric_Order
JRIU01000307.1	7	w303_scaffold_282	282	Numeric_Order
JRIU01000297.1	7	w303_scaffold_283	283	Numeric_Order
JRIU01000287.1	7	w303_scaffold_284	284	Numeric_Order
JRIU01000277.1	7	w303_scaffold_285	285	Numeric_Order
JRIU01000267.1	7	w303_scaffold_286	286	Numeric_Order
JRIU01000257.1	7	w303_scaffold_287	287	Numeric_Order
JRIU01000247.1	7	w303_scaffold_288	288	Numeric_Order
JRIU01000237.1	7	w303_scaffold_289	289	Numeric_Order
JRIU01000227.1	7	w303_scaffold_290	290	Numeric_Order
JRIU01000217.1	7	w303_scaffold_291	291	Numeric_Order
JRIU01000207.1	7	w303_scaffold_292	292	Numeric_Order
JRIU01000197.1	7	w303_scaffold_293	293	Numeric_Order
JRIU01000187.1	7	w303_scaffold_294	294	Numeric_Order
JRIU01000177.1	7	w303_scaffold_295	295	Numeric_Order
JRIU01000167.1	7	w303_scaffold_296	296	Numeric_Order
JRIU01000157.1	7	w303_scaffold_297	297	Numeric_Order
JRIU01000147.1	7	w303_scaffold_298	298	Numeric_Order
JRIU01000137.1	7	w303_scaffold_299	299	Numeric_Order
JRIU01000127.1	7	w303_scaffold_300	300	Numeric_Order
JRIU01000117.1	7	w303_scaffold_301	301	Numeric_Order
JRIU01000107.1	7	w303_scaffold_302	302	Numeric_Order
JRIU01000097.1	7	w303_scaffold_303	303	Numeric_Order
JRIU01000087.1	7	w303_scaffold_304	304	Numeric_Order
JRIU01000077.1	7	w303_scaffold_305	305	Numeric_Order
JRIU01000067.1	7	w303_scaffold_306	306	Numeric_Order
JRIU01000057.1	7	w303_scaffold_307	307	Numeric_Order
JRIU01000047.1	7	w303_scaffold_308	308	Numeric_Order
JRIU01000037.1	7	w303_scaffold_309	309	Numeric_Order
JRIU01000027.1	7	w303_scaffold_310	310	Numeric_Order
JRIU01000017.1	7	w303_scaffold_311	311	Numeric_Order
JRIU01000007.1	7	w303_scaffold_312	312	Numeric_Order
JRIU01000407.1	7	w303_scaffold_313	313	Numeric_Order
JRIU01000397.1	7	w303_scaffold_314	314	Numeric_Order
JRIU01000387.1	7	w303_scaffold_315	315	Numeric_Order
JRIU01000377.1	7	w303_scaffold_316	316	Numeric_Order
JRIU01000368.1	8	w303_scaffold_317	317	Numeric_Order
JRIU01000358.1	8	w303_scaffold_318	318	Numeric_Order
JRIU01000348.1	8	w303_scaffold_319	319	Numeric_Order
JRIU01000338.1	8	w303_scaffold_320	320	Numeric_Order
JRIU01000328.1	8	w303_scaffold_321	321	Numeric_Order
JRIU01000318.1	8	w303_scaffold_322	322	Numeric_Order
JRIU01000308.1	8	w303_scaffold_323	323	Numeric_Order
JRIU01000298.1	8	w303_scaffold_324	324	Numeric_Order
JRIU01000288.1	8	w303_scaffold_325	325	Numeric_Order
JRIU01000278.1	8	w303_scaffold_326	326	Numeric_Order
JRIU01000268.1	8	w303_scaffold_327	327	Numeric_Order
JRIU01000258.1	8	w303_scaffold_328	328	Numeric_Order
JRIU01000248.1	8	w303_scaffold_329	329	Numeric_Order
JRIU01000238.1	8	w303_scaffold_330	330	Numeric_Order
JRIU01000228.1	8	w303_scaffold_331	331	Numeric_Order
JRIU01000218.1	8	w303_scaffold_332	332	Numeric_Order
JRIU01000208.1	8	w303_scaffold_333	333	Numeric_Order
JRIU01000198.1	8	w303_scaffold_334	334	Numeric_Order
JRIU01000188.1	8	w303_scaffold_335	335	Numeric_Order
JRIU01000178.1	8	w303_scaffold_336	336	Numeric_Order
JRIU01000168.1	8	w303_scaffold_337	337	Numeric_Order
JRIU01000158.1	8	w303_scaffold_338	338	Numeric_Order
JRIU01000148.1	8	w303_scaffold_339	339	Numeric_Order
JRIU01000138.1	8	w303_scaffold_340	340	Numeric_Order
JRIU01000128.1	8	w303_scaffold_341	341	Numeric_Order
JRIU01000118.1	8	w303_scaffold_342	342	Numeric_Order
JRIU01000108.1	8	w303_scaffold_343	343	Numeric_Order
JRIU01000098.1	8	w303_scaffold_344	344	Numeric_Order
JRIU01000088.1	8	w303_scaffold_345	345	Numeric_Order
JRIU01000078.1	8	w303_scaffold_346	346	Numeric_Order
JRIU01000068.1	8	w303_scaffold_347	347	Numeric_Order
JRIU01000058.1	8	w303_scaffold_348	348	Numeric_Order
JRIU01000048.1	8	w303_scaffold_349	349	Numeric_Order
JRIU01000038.1	8	w303_scaffold_350	350	Numeric_Order
JRIU01000028.1	8	w303_scaffold_351	351	Numeric_Order
JRIU01000018.1	8	w303_scaffold_352	352	Numeric_Order
JRIU01000008.1	8	w303_scaffold_353	353	Numeric_Order
JRIU01000408.1	8	w303_scaffold_354	354	Numeric_Order
JRIU01000398.1	8	w303_scaffold_355	355	Numeric_Order
JRIU01000388.1	8	w303_scaffold_356	356	Numeric_Order
JRIU01000378.1	8	w303_scaffold_357	357	Numeric_Order
JRIU01000369.1	9	w303_scaffold_358	358	Numeric_Order
JRIU01000359.1	9	w303_scaffold_359	359	Numeric_Order
JRIU01000349.1	9	w303_scaffold_360	360	Numeric_Order
JRIU01000339.1	9	w303_scaffold_361	361	Numeric_Order
JRIU01000329.1	9	w303_scaffold_362	362	Numeric_Order
JRIU01000319.1	9	w303_scaffold_363	363	Numeric_Order
JRIU01000309.1	9	w303_scaffold_364	364	Numeric_Order
JRIU01000299.1	9	w303_scaffold_365	365	Numeric_Order
JRIU01000289.1	9	w303_scaffold_366	366	Numeric_Order
JRIU01000279.1	9	w303_scaffold_367	367	Numeric_Order
JRIU01000269.1	9	w303_scaffold_368	368	Numeric_Order
JRIU01000259.1	9	w303_scaffold_369	369	Numeric_Order
JRIU01000249.1	9	w303_scaffold_370	370	Numeric_Order
JRIU01000239.1	9	w303_scaffold_371	371	Numeric_Order
JRIU01000229.1	9	w303_scaffold_372	372	Numeric_Order
JRIU01000219.1	9	w303_scaffold_373	373	Numeric_Order
JRIU01000209.1	9	w303_scaffold_374	374	Numeric_Order
JRIU01000199.1	9	w303_scaffold_375	375	Numeric_Order
JRIU01000189.1	9	w303_scaffold_376	376	Numeric_Order
JRIU01000179.1	9	w303_scaffold_377	377	Numeric_Order
JRIU01000169.1	9	w303_scaffold_378	378	Numeric_Order
JRIU01000159.1	9	w303_scaffold_379	379	Numeric_Order
JRIU01000149.1	9	w303_scaffold_380	380	Numeric_Order
JRIU01000139.1	9	w303_scaffold_381	381	Numeric_Order
JRIU01000129.1	9	w303_scaffold_382	382	Numeric_Order
JRIU01000119.1	9	w303_scaffold_383	383	Numeric_Order
JRIU01000109.1	9	w303_scaffold_384	384	Numeric_Order
JRIU01000099.1	9	w303_scaffold_385	385	Numeric_Order
JRIU01000089.1	9	w303_scaffold_386	386	Numeric_Order
JRIU01000079.1	9	w303_scaffold_387	387	Numeric_Order
JRIU01000069.1	9	w303_scaffold_388	388	Numeric_Order
JRIU01000059.1	9	w303_scaffold_389	389	Numeric_Order
JRIU01000049.1	9	w303_scaffold_390	390	Numeric_Order
JRIU01000039.1	9	w303_scaffold_391	391	Numeric_Order
JRIU01000029.1	9	w303_scaffold_392	392	Numeric_Order
JRIU01000019.1	9	w303_scaffold_393	393	Numeric_Order
JRIU01000009.1	9	w303_scaffold_394	394	Numeric_Order
JRIU01000409.1	9	w303_scaffold_395	395	Numeric_Order
JRIU01000399.1	9	w303_scaffold_396	396	Numeric_Order
JRIU01000389.1	9	w303_scaffold_397	397	Numeric_Order
JRIU01000379.1	9	w303_scaffold_398	398	Numeric_Order
