gene_name	sc_gene_id	scaffold	gene_start	gene_end	variant_id	position	distance	location	ref	alt	treatment	impact	effect
YHR001W		w303_scaffold_8	100743	102056		113074	11018	downstream	GA	G	WT-CTRL	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	100743	102056		95192	5551	upstream	AT	A	WTA	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	100743	102056		107560	5504	downstream	C	CT	WTA	HIGH	frameshift_variant
YHR001W		w303_scaffold_8	100743	102056		111680	9624	downstream	A	AT	WTA	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	100743	102056		113074	11018	downstream	GA	G	WTA	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	100743	102056		95192	5551	upstream	AT	A	WTA	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	100743	102056		107560	5504	downstream	C	CT	WTA	HIGH	frameshift_variant
YHR001W		w303_scaffold_8	100743	102056		111680	9624	downstream	A	AT	WTA	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	100743	102056		113074	11018	downstream	GA	G	WTA	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	100743	102056		95192	5551	upstream	AT	A	WTA	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	100743	102056		107560	5504	downstream	C	CT	WTA	HIGH	frameshift_variant
YHR001W		w303_scaffold_8	100743	102056		111680	9624	downstream	A	AT	WTA	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	100743	102056		113074	11018	downstream	GA	G	WTA	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		95192	7475	upstream	AT	A	CAS	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		107560	4750	downstream	C	CT	CAS	HIGH	frameshift_variant
YHR001W		w303_scaffold_8	102667	102810		111680	8870	downstream	A	AT	CAS	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		113074	10264	downstream	GA	G	CAS	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		95192	7475	upstream	AT	A	CAS	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		107560	4750	downstream	C	CT	CAS	HIGH	frameshift_variant
YHR001W		w303_scaffold_8	102667	102810		111680	8870	downstream	A	AT	CAS	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		112675	9865	downstream	G	GA	CAS	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		113074	10264	downstream	GA	G	CAS	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		95192	7475	upstream	AT	A	CAS	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		107027	4217	downstream	CT	C	CAS	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		107560	4750	downstream	C	CT	CAS	HIGH	frameshift_variant
YHR001W		w303_scaffold_8	102667	102810		111680	8870	downstream	A	AT	CAS	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		113074	10264	downstream	GA	G	CAS	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		95192	7475	upstream	AT	A	CAS-CTRL	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		107560	4750	downstream	C	CT	CAS-CTRL	HIGH	frameshift_variant
YHR001W		w303_scaffold_8	102667	102810		111680	8870	downstream	A	AT	CAS-CTRL	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		113074	10264	downstream	GA	G	CAS-CTRL	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		95192	7475	upstream	AT	A	STC	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		107560	4750	downstream	C	CT	STC	HIGH	frameshift_variant
YHR001W		w303_scaffold_8	102667	102810		111680	8870	downstream	A	AT	STC	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		113074	10264	downstream	GA	G	STC	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		95192	7475	upstream	AT	A	STC	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		107027	4217	downstream	CT	C	STC	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		107560	4750	downstream	C	CT	STC	HIGH	frameshift_variant
YHR001W		w303_scaffold_8	102667	102810		111680	8870	downstream	A	AT	STC	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		113074	10264	downstream	GA	G	STC	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		95192	7475	upstream	AT	A	STC	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		107560	4750	downstream	C	CT	STC	HIGH	frameshift_variant
YHR001W		w303_scaffold_8	102667	102810		111680	8870	downstream	A	AT	STC	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		113074	10264	downstream	GA	G	STC	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		95192	7475	upstream	AT	A	STC-CTRL	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		107560	4750	downstream	C	CT	STC-CTRL	HIGH	frameshift_variant
YHR001W		w303_scaffold_8	102667	102810		111680	8870	downstream	A	AT	STC-CTRL	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		113074	10264	downstream	GA	G	STC-CTRL	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		95192	7475	upstream	AT	A	WT-37	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		107560	4750	downstream	C	CT	WT-37	HIGH	frameshift_variant
YHR001W		w303_scaffold_8	102667	102810		111680	8870	downstream	A	AT	WT-37	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		113074	10264	downstream	GA	G	WT-37	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		95192	7475	upstream	AT	A	WT-37	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		107560	4750	downstream	C	CT	WT-37	HIGH	frameshift_variant
YHR001W		w303_scaffold_8	102667	102810		111680	8870	downstream	A	AT	WT-37	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		113074	10264	downstream	GA	G	WT-37	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		95192	7475	upstream	AT	A	WT-37	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		107560	4750	downstream	C	CT	WT-37	HIGH	frameshift_variant
YHR001W		w303_scaffold_8	102667	102810		111680	8870	downstream	A	AT	WT-37	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		113074	10264	downstream	GA	G	WT-37	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		95192	7475	upstream	AT	A	WT-CTRL	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		107560	4750	downstream	C	CT	WT-CTRL	HIGH	frameshift_variant
YHR001W		w303_scaffold_8	102667	102810		111680	8870	downstream	A	AT	WT-CTRL	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		113074	10264	downstream	GA	G	WT-CTRL	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		95192	7475	upstream	AT	A	WTA	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		107560	4750	downstream	C	CT	WTA	HIGH	frameshift_variant
YHR001W		w303_scaffold_8	102667	102810		111680	8870	downstream	A	AT	WTA	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		113074	10264	downstream	GA	G	WTA	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		95192	7475	upstream	AT	A	WTA	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		107560	4750	downstream	C	CT	WTA	HIGH	frameshift_variant
YHR001W		w303_scaffold_8	102667	102810		111680	8870	downstream	A	AT	WTA	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		113074	10264	downstream	GA	G	WTA	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		95192	7475	upstream	AT	A	WTA	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		107560	4750	downstream	C	CT	WTA	HIGH	frameshift_variant
YHR001W		w303_scaffold_8	102667	102810		111680	8870	downstream	A	AT	WTA	MODIFIER	upstream_gene_variant
YHR001W		w303_scaffold_8	102667	102810		113074	10264	downstream	GA	G	WTA	MODIFIER	upstream_gene_variant
YHR073W		w303_scaffold_8	250612	253602		237175	13437	upstream	GA	G	CAS	MODIFIER	upstream_gene_variant
YHR073W		w303_scaffold_8	250612	253602		237175	13437	upstream	GAA	G	CAS	MODIFIER	upstream_gene_variant
YHR073W		w303_scaffold_8	250612	253602		237175	13437	upstream	GA	G	CAS	MODIFIER	upstream_gene_variant
YHR073W		w303_scaffold_8	250612	253602		237175	13437	upstream	GA	G	CAS-CTRL	MODIFIER	upstream_gene_variant
YHR073W		w303_scaffold_8	250612	253602		237175	13437	upstream	GA	G	STC	MODIFIER	upstream_gene_variant
YHR073W		w303_scaffold_8	250612	253602		237175	13437	upstream	GA	G	STC	MODIFIER	upstream_gene_variant
YHR073W		w303_scaffold_8	250612	253602		237175	13437	upstream	GA	G	STC	MODIFIER	upstream_gene_variant
YHR073W		w303_scaffold_8	250612	253602		237175	13437	upstream	GA	G	STC-CTRL	MODIFIER	upstream_gene_variant
YHR073W		w303_scaffold_8	250612	253602		237175	13437	upstream	GA	G	WT-37	MODIFIER	upstream_gene_variant
YHR073W		w303_scaffold_8	250612	253602		237175	13437	upstream	GA	G	WT-37	MODIFIER	upstream_gene_variant
YHR073W		w303_scaffold_8	250612	253602		237175	13437	upstream	GAA	G	WT-37	MODIFIER	upstream_gene_variant
YHR073W		w303_scaffold_8	250612	253602		237175	13437	upstream	GA	G	WT-CTRL	MODIFIER	upstream_gene_variant
YHR073W		w303_scaffold_8	250612	253602		237175	13437	upstream	GA	G	WTA	MODIFIER	upstream_gene_variant
YHR073W		w303_scaffold_8	250612	253602		237175	13437	upstream	GA	G	WTA	MODIFIER	upstream_gene_variant
