Region	ERG_Gene	Gene_ID	Locus_Tag	Product	Start	End	Strand	Distance_to_ERG	Position_to_ERG	Variant_Count	Region_Variant_Count	Gene_Size	Expected_Variants	Enrichment
ERG25_neighborhood	ERG25	W3030G02900	unknown	unknown	588442	589006	+	18685	upstream	0	0	564	0.0049819999999999994	0.0
ERG25_neighborhood	ERG25	W3030G02910	unknown	unknown	590724	591834	+	15857	upstream	15	15	1110	0.009805	1529.8317185109638
ERG25_neighborhood	ERG25	W3030G02920	unknown	unknown	592114	592966	-	14725	upstream	0	0	852	0.007526000000000001	0.0
ERG25_neighborhood	ERG25	W3030G02930	unknown	unknown	593821	595750	+	11941	upstream	0	0	1929	0.0170395	0.0
ERG25_neighborhood	ERG25	W3030G02940	unknown	unknown	596545	598270	+	9421	upstream	0	0	1725	0.0152375	0.0
ERG25_neighborhood	ERG25	W3030G02950	unknown	unknown	598789	601576	+	6115	upstream	0	0	2787	0.0246185	0.0
ERG25_neighborhood	ERG25	W3030G02960	unknown	unknown	601901	602639	-	5052	upstream	0	0	738	0.0065190000000000005	0.0
ERG25_neighborhood	ERG25	W3030G02970	unknown	unknown	603264	604272	+	3419	upstream	0	0	1008	0.008903999999999999	0.0
ERG25_neighborhood	ERG25	W3030G02980	unknown	unknown	604691	606230	+	1461	upstream	0	0	1539	0.0135945	0.0
ERG25_neighborhood	ERG25	W3030G02990	unknown	unknown	607691	608621	+	0	overlapping	0	0	930	0.008215	0.0
ERG25_neighborhood	ERG25	W3030G03000	unknown	unknown	609014	613091	-	393	downstream	0	0	4077	0.0360135	0.0
ERG25_neighborhood	ERG25	W3030G03010	unknown	unknown	613454	614405	-	4833	downstream	0	0	951	0.0084005	0.0
ERG25_neighborhood	ERG25	W3030G03020	unknown	unknown	614641	614950	-	6020	downstream	0	0	309	0.0027294999999999997	0.0
ERG25_neighborhood	ERG25	W3030G03030	unknown	unknown	615202	616984	-	6581	downstream	0	0	1782	0.015741	0.0
ERG25_neighborhood	ERG25	W3030G03040	unknown	unknown	618046	618925	-	9425	downstream	0	0	879	0.007764500000000001	0.0
ERG25_neighborhood	ERG25	W3030G03050	unknown	unknown	619497	621912	-	10876	downstream	0	0	2415	0.0213325	0.0
ERG25_neighborhood	ERG25	W3030G03060	unknown	unknown	622449	624210	-	13828	downstream	0	0	1761	0.015555499999999998	0.0
ERG25_neighborhood	ERG25	W3030G03070	unknown	unknown	624987	628455	+	16366	downstream	0	0	3468	0.030633999999999998	0.0
ERG25_neighborhood	ERG25	W3030G03080	unknown	unknown	628662	631245	-	20041	downstream	0	0	2583	0.0228165	0.0
ERG25_neighborhood	ERG25	W3030G03090	unknown	unknown	631485	632649	+	22864	downstream	0	0	1164	0.010282	0.0
ERG25_neighborhood	ERG25	W3030G03100	unknown	unknown	632893	633334	+	24272	downstream	0	0	441	0.0038954999999999997	0.0
ERG25_neighborhood	ERG25	W3030G03110	unknown	unknown	633328	634057	-	24707	downstream	0	0	729	0.0064395	0.0
ERG25_neighborhood	ERG25	W3030G03120	unknown	unknown	634285	634759	-	25664	downstream	0	0	474	0.004187	0.0
ERG25_neighborhood	ERG25	W3030G03130	unknown	unknown	634925	636695	-	26304	downstream	0	0	1770	0.015635	0.0
ERG25_neighborhood	ERG25	W3030G03140	unknown	unknown	636954	637554	-	28333	downstream	0	0	600	0.0053	0.0
ERG25_neighborhood	ERG25	W3030G03150	unknown	unknown	637947	639060	+	29326	downstream	0	0	1113	0.0098315	0.0
ERG25_neighborhood	ERG25	W3030G03160	unknown	unknown	639237	640236	+	30616	downstream	0	0	999	0.0088245	0.0
ERG25_neighborhood	ERG25	W3030G03170	unknown	unknown	640375	641008	-	31754	downstream	0	0	633	0.0055915	0.0
ERG25_neighborhood	ERG25	W3030G03180	unknown	unknown	641271	641823	+	32650	downstream	0	0	552	0.004876	0.0
ERG25_neighborhood	ERG25	W3030G03190	unknown	unknown	642085	644041	-	33464	downstream	0	0	1956	0.017278	0.0
ERG25_neighborhood	ERG25	W3030G03200	unknown	unknown	644348	645368	-	35727	downstream	0	0	1020	0.00901	0.0
ERG25_neighborhood	ERG25	W3030G03210	unknown	unknown	645608	646133	-	36987	downstream	0	0	525	0.0046375	0.0
ERG25_neighborhood	ERG25	W3030G03220	unknown	unknown	646824	647844	-	38203	downstream	0	0	1020	0.00901	0.0
ERG25_neighborhood	ERG25	W3030G03230	unknown	unknown	648520	650212	-	39899	downstream	15	15	1692	0.014946000000000001	1003.6130068245684
ERG25_neighborhood	ERG25	W3030G03240	unknown	unknown	651829	652021	+	43208	downstream	0	0	192	0.001696	0.0
ERG25_neighborhood	ERG25	W3030G03250	unknown	unknown	652170	653892	+	43549	downstream	0	0	1722	0.015210999999999999	0.0
ERG25_neighborhood	ERG25	W3030G03260	unknown	unknown	654528	657339	+	45907	downstream	0	0	2811	0.024830500000000002	0.0
