Sample	Treatment	Scaffold	Position	Ref	Alt	Quality	Variant_Type	Effect	Impact	Gene_ID	Nearest_Gene	Nearest_Gene_SC_ID	Nearest_Gene_ERG	Distance	Position_Relative
WT-CTRL	WT-CTRL	w303_scaffold_7	613297	AT	A	111.862	DELETION	upstream_gene_variant	MODIFIER	W3030G03000	W3030G02990	YGR060W	ERG25	4676	downstream
WT-CTRL	WT-CTRL	w303_scaffold_8	111680	A	AT	228.354	INSERTION	upstream_gene_variant	MODIFIER	W3030H00610	W3030H00650	YHR007C	ERG11	4029	upstream
WT-CTRL	WT-CTRL	w303_scaffold_8	113074	GA	G	193.388	DELETION	upstream_gene_variant	MODIFIER	W3030H00610	W3030H00650	YHR007C	ERG11	2635	upstream
WTA-55-1	WTA	w303_scaffold_7	606238	T	TA	207.135	INSERTION	upstream_gene_variant	MODIFIER	W3030G02960	W3030G02990	YGR060W	ERG25	1453	upstream
WTA-55-1	WTA	w303_scaffold_7	613297	AT	A	105.926	DELETION	upstream_gene_variant	MODIFIER	W3030G03000	W3030G02990	YGR060W	ERG25	4676	downstream
WTA-55-1	WTA	w303_scaffold_8	111680	A	AT	228.412	INSERTION	upstream_gene_variant	MODIFIER	W3030H00610	W3030H00650	YHR007C	ERG11	4029	upstream
WTA-55-1	WTA	w303_scaffold_8	113074	GA	G	183.308	DELETION	upstream_gene_variant	MODIFIER	W3030H00610	W3030H00650	YHR007C	ERG11	2635	upstream
WTA-55-2	WTA	w303_scaffold_7	606238	T	TA	195.157	INSERTION	upstream_gene_variant	MODIFIER	W3030G02960	W3030G02990	YGR060W	ERG25	1453	upstream
WTA-55-2	WTA	w303_scaffold_7	613297	AT	A	123.093	DELETION	upstream_gene_variant	MODIFIER	W3030G03000	W3030G02990	YGR060W	ERG25	4676	downstream
WTA-55-2	WTA	w303_scaffold_8	111680	A	AT	228.358	INSERTION	upstream_gene_variant	MODIFIER	W3030H00610	W3030H00650	YHR007C	ERG11	4029	upstream
WTA-55-2	WTA	w303_scaffold_8	113074	GA	G	195.371	DELETION	upstream_gene_variant	MODIFIER	W3030H00610	W3030H00650	YHR007C	ERG11	2635	upstream
WTA-55-3	WTA	w303_scaffold_7	606238	T	TA	211.135	INSERTION	upstream_gene_variant	MODIFIER	W3030G02960	W3030G02990	YGR060W	ERG25	1453	upstream
WTA-55-3	WTA	w303_scaffold_7	613297	AT	A	137.886	DELETION	upstream_gene_variant	MODIFIER	W3030G03000	W3030G02990	YGR060W	ERG25	4676	downstream
WTA-55-3	WTA	w303_scaffold_8	111680	A	AT	228.409	INSERTION	upstream_gene_variant	MODIFIER	W3030H00610	W3030H00650	YHR007C	ERG11	4029	upstream
WTA-55-3	WTA	w303_scaffold_8	113074	GA	G	219.319	DELETION	upstream_gene_variant	MODIFIER	W3030H00610	W3030H00650	YHR007C	ERG11	2635	upstream
